,index,set_code,set_name,set_link
0,0,sv05k,[SV5K] 拡張パック ワイルドフォース,https://yuyu-tei.jp/sell/poc/s/sv05k
1,0,sv05m,[SV5M] 拡張パック サイバージャッジ,https://yuyu-tei.jp/sell/poc/s/sv05m
2,0,sv04k,[SV4K] 拡張パック 古代の咆哮,https://yuyu-tei.jp/sell/poc/s/sv04k
3,0,sv04m,[SV4M] 拡張パック 未来の一閃,https://yuyu-tei.jp/sell/poc/s/sv04m
4,0,sv03a,[SV3a] 強化拡張パック レイジングサーフ,https://yuyu-tei.jp/sell/poc/s/sv03a
5,0,sv03,[SV3] 拡張パック 黒炎の支配者,https://yuyu-tei.jp/sell/poc/s/sv03
6,0,sv02a,[SV2a] 強化拡張パック ポケモンカード151,https://yuyu-tei.jp/sell/poc/s/sv02a
7,0,sv02p,[SV2P] 拡張パック スノーハザード,https://yuyu-tei.jp/sell/poc/s/sv02p
8,0,sv02d,[SV2D] 拡張パック クレイバースト,https://yuyu-tei.jp/sell/poc/s/sv02d
9,0,sv01a,[SV1a] 強化拡張パック トリプレットビート,https://yuyu-tei.jp/sell/poc/s/sv01a
10,0,sv01s,[SV1S] 拡張パック スカーレットex,https://yuyu-tei.jp/sell/poc/s/sv01s
11,0,sv01v,[SV1V] 拡張パック バイオレットex,https://yuyu-tei.jp/sell/poc/s/sv01v
12,0,s12,[S12] 拡張パック パラダイムトリガー,https://yuyu-tei.jp/sell/poc/s/s12
13,0,s11a,[S11a] 強化拡張パック 白熱のアルカナ,https://yuyu-tei.jp/sell/poc/s/s11a
14,0,s11,[S11] 拡張パック ロストアビス,https://yuyu-tei.jp/sell/poc/s/s11
15,0,s10b,[S10b] 強化拡張パック Pokémon GO,https://yuyu-tei.jp/sell/poc/s/s10b
16,0,s10a,[S10a] 強化拡張パック ダークファンタズマ,https://yuyu-tei.jp/sell/poc/s/s10a
17,0,s10d,[S10D] 拡張パック タイムゲイザー,https://yuyu-tei.jp/sell/poc/s/s10d
18,0,s10p,[S10P] 拡張パック スペースジャグラー,https://yuyu-tei.jp/sell/poc/s/s10p
19,0,s09a,[S9a] 強化拡張パック バトルリージョン,https://yuyu-tei.jp/sell/poc/s/s09a
20,0,s09,[S9] 拡張パック スターバース,https://yuyu-tei.jp/sell/poc/s/s09
21,0,s08a,[S8a] 拡張パック 25th ANNIVERSARY COLLECTION,https://yuyu-tei.jp/sell/poc/s/s08a
22,0,s08,[S8] 拡張パック フュージョンアーツ,https://yuyu-tei.jp/sell/poc/s/s08
23,0,s07d,[S7D] 拡張パック 摩天パーフェクト,https://yuyu-tei.jp/sell/poc/s/s07d
24,0,s07r,[S7R] 拡張パック 蒼空ストリーム,https://yuyu-tei.jp/sell/poc/s/s07r
25,0,s06a,[S6a] 強化拡張パック イーブイヒーローズ,https://yuyu-tei.jp/sell/poc/s/s06a
26,0,s06h,[S6H] 拡張パック 白銀のランス,https://yuyu-tei.jp/sell/poc/s/s06h
27,0,s06k,[S6K] 拡張パック 漆黒のガイスト,https://yuyu-tei.jp/sell/poc/s/s06k
28,0,s05a,[S5a] 強化拡張パック 双璧のファイター,https://yuyu-tei.jp/sell/poc/s/s05a
29,0,s05i,[S5I] 拡張パック 一撃マスター,https://yuyu-tei.jp/sell/poc/s/s05i
30,0,s05r,[S5R] 拡張パック 連撃マスター,https://yuyu-tei.jp/sell/poc/s/s05r
31,0,s04,[S4] 拡張パック 仰天のボルテッカー,https://yuyu-tei.jp/sell/poc/s/s04
32,0,s03a,[S3a] 強化拡張パック 伝説の鼓動,https://yuyu-tei.jp/sell/poc/s/s03a
33,0,s03,[S3] 拡張パック ムゲンゾーン,https://yuyu-tei.jp/sell/poc/s/s03
34,0,s02a,[S2a] 強化拡張パック 爆炎ウォーカー,https://yuyu-tei.jp/sell/poc/s/s02a
35,0,s02,[S2] 拡張パック 反逆クラッシュ,https://yuyu-tei.jp/sell/poc/s/s02
36,0,s01a,[S1a] 強化拡張パック VMAXライジング,https://yuyu-tei.jp/sell/poc/s/s01a
37,0,s01w,[S1W] 拡張パック ソード,https://yuyu-tei.jp/sell/poc/s/s01w
38,0,s01h,[S1H] 拡張パック シールド,https://yuyu-tei.jp/sell/poc/s/s01h
39,0,sm12,[SM12] 拡張パック オルタージェネシス,https://yuyu-tei.jp/sell/poc/s/sm12
40,0,sm11b,[SM11b] 強化拡張パック ドリームリーグ,https://yuyu-tei.jp/sell/poc/s/sm11b
41,0,sm11a,[SM11a] 強化拡張パック リミックスバウト,https://yuyu-tei.jp/sell/poc/s/sm11a
42,0,sm11,[SM11] 拡張パック ミラクルツイン,https://yuyu-tei.jp/sell/poc/s/sm11
43,0,sm10b,[SM10b] 強化拡張パック スカイレジェンド,https://yuyu-tei.jp/sell/poc/s/sm10b
44,0,sm10a,[SM10a] 強化拡張パック ジージーエンド,https://yuyu-tei.jp/sell/poc/s/sm10a
45,0,sm10,[SM10] 拡張パック ダブルブレイズ,https://yuyu-tei.jp/sell/poc/s/sm10
46,0,sm09b,[SM9b] 強化拡張パック フルメタルウォール,https://yuyu-tei.jp/sell/poc/s/sm09b
47,0,sm09a,[SM9a] 強化拡張パック ナイトユニゾン,https://yuyu-tei.jp/sell/poc/s/sm09a
48,0,sm09,[SM9] 拡張パック タッグボルト,https://yuyu-tei.jp/sell/poc/s/sm09
49,0,sm08a,[SM8a] 強化拡張パック ダークオーダー,https://yuyu-tei.jp/sell/poc/s/sm08a
50,0,sm08,[SM8] 拡張パック 超爆インパクト,https://yuyu-tei.jp/sell/poc/s/sm08
51,0,sm07b,[SM7b] 強化拡張パック フェアリーライズ,https://yuyu-tei.jp/sell/poc/s/sm07b
52,0,sm07a,[SM7a] 強化拡張パック 迅雷スパーク,https://yuyu-tei.jp/sell/poc/s/sm07a
53,0,sm07,[SM7] 拡張パック 裂空のカリスマ,https://yuyu-tei.jp/sell/poc/s/sm07
54,0,sm06b,[SM6b] 強化拡張パック チャンピオンロード,https://yuyu-tei.jp/sell/poc/s/sm06b
55,0,sm06a,[SM6a] 強化拡張パック ドラゴンストーム,https://yuyu-tei.jp/sell/poc/s/sm06a
56,0,sm06,[SM6] 拡張パック 禁断の光,https://yuyu-tei.jp/sell/poc/s/sm06
57,0,sm05plus,[SM5+] 強化拡張パック ウルトラフォース,https://yuyu-tei.jp/sell/poc/s/sm05plus
58,0,sm05s,[SM5S] 拡張パック ウルトラサン,https://yuyu-tei.jp/sell/poc/s/sm05s
59,0,sm05m,[SM5M] 拡張パック ウルトラムーン,https://yuyu-tei.jp/sell/poc/s/sm05m
60,0,sm04s,[SM4S] 拡張パック 覚醒の勇者,https://yuyu-tei.jp/sell/poc/s/sm04s
61,0,sm04a,[SM4A] 拡張パック 超次元の暴獣,https://yuyu-tei.jp/sell/poc/s/sm04a
62,0,sm03plus,[SM3+] 強化拡張パック ひかる伝説,https://yuyu-tei.jp/sell/poc/s/sm03plus
63,0,sm03h,[SM3H] 拡張パック 闘う虹を見たか,https://yuyu-tei.jp/sell/poc/s/sm03h
64,0,sm03n,[SM3N] 拡張パック 光を喰らう闇,https://yuyu-tei.jp/sell/poc/s/sm03n
65,0,sm02plus,[SM2+] 強化拡張パック 新たなる試練の向こう,https://yuyu-tei.jp/sell/poc/s/sm02plus
66,0,sm02k,[SM2K] 拡張パック キミを待つ島々,https://yuyu-tei.jp/sell/poc/s/sm02k
67,0,sm02l,[SM2L] 拡張パック アローラの月光,https://yuyu-tei.jp/sell/poc/s/sm02l
68,0,sm01plus,[SM1+] 強化拡張パック サン＆ムーン,https://yuyu-tei.jp/sell/poc/s/sm01plus
69,0,sm01s,[SM1S] コレクション サン,https://yuyu-tei.jp/sell/poc/s/sm01s
70,0,sm01m,[SM1M] コレクション ムーン,https://yuyu-tei.jp/sell/poc/s/sm01m
71,0,xy11ef,[XY11] 爆熱の闘士,https://yuyu-tei.jp/sell/poc/s/xy11ef
72,0,xy11ct,[XY11] 冷酷の反逆者,https://yuyu-tei.jp/sell/poc/s/xy11ct
73,0,xy10,[XY10] めざめる超王,https://yuyu-tei.jp/sell/poc/s/xy10
74,0,xy09,[XY9] 破天の怒り,https://yuyu-tei.jp/sell/poc/s/xy09
75,0,xy08rf,[XY8] 赤い閃光,https://yuyu-tei.jp/sell/poc/s/xy08rf
76,0,xy08bs,[XY8] 青い衝撃,https://yuyu-tei.jp/sell/poc/s/xy08bs
77,0,xy07,[XY7] バンデットリング,https://yuyu-tei.jp/sell/poc/s/xy07
78,0,xy06,[XY6] エメラルドブレイク,https://yuyu-tei.jp/sell/poc/s/xy06
79,0,xy05gv,[XY5] ガイアボルケーノ,https://yuyu-tei.jp/sell/poc/s/xy05gv
80,0,xy05ts,[XY5] タイダルストーム,https://yuyu-tei.jp/sell/poc/s/xy05ts
81,0,xy04,[XY4] ファントムゲート,https://yuyu-tei.jp/sell/poc/s/xy04
