,card_name,card_num,price,status
0,マルマイン,092/070,"1,280 円",remaining:×
0,霧の水晶,093/070,"1,480 円",remaining:×
0,やまびこホーン,094/070,"1,280 円",remaining:4pcs
0,基本超エネルギー,095/070,"3,480 円",remaining:◯
0,セレビィVMAX,084/070,780 円,remaining:1pcs
0,こくばバドレックスVMAX,085/070,"1,980 円",remaining:2pcs
0,こくばバドレックスVMAX,086/070,"59,800 円",remaining:×
0,メタグロスVMAX,087/070,780 円,remaining:4pcs
0,カトレア,088/070,"4,980 円",remaining:×
0,キクコ,089/070,780 円,remaining:2pcs
0,シャクヤ,090/070,"1,980 円",remaining:3pcs
0,ズミ,091/070,780 円,remaining:×
0,セレビィV,071/070,680 円,remaining:5pcs
0,ウオチルドンV,072/070,680 円,remaining:1pcs
0,ゼラオラV,073/070,780 円,remaining:×
0,ゼラオラV,074/070,"8,980 円",remaining:1pcs
0,こくばバドレックスV,075/070,980 円,remaining:9pcs
0,こくばバドレックスV,076/070,"3,980 円",remaining:×
0,メタグロスV,077/070,780 円,remaining:1pcs
0,ハピナスV,078/070,980 円,remaining:2pcs
0,ハピナスV,079/070,"3,980 円",remaining:1pcs
0,カトレア,080/070,"24,800 円",remaining:3pcs
0,キクコ,081/070,780 円,remaining:9pcs
0,シャクヤ,082/070,"3,980 円",remaining:2pcs
0,ズミ,083/070,680 円,remaining:5pcs
0,セレビィVMAX,004/070,80 円,remaining:◯
0,こくばバドレックスVMAX,037/070,120 円,remaining:◯
0,メタグロスVMAX,050/070,180 円,remaining:◯
0,セレビィV,003/070,80 円,remaining:◯
0,ウオチルドンV,017/070,80 円,remaining:◯
0,ゼラオラV,024/070,80 円,remaining:◯
0,こくばバドレックスV,036/070,120 円,remaining:◯
0,メタグロスV,049/070,80 円,remaining:◯
0,ハピナスV,052/070,120 円,remaining:◯
0,ゴリランダー,008/070,80 円,remaining:◯
0,マニューラ,012/070,80 円,remaining:◯
0,カプ・レヒレ,016/070,80 円,remaining:◯
0,ゲンガー,027/070,80 円,remaining:◯
0,クレセリア,029/070,80 円,remaining:◯
0,オトスパス,043/070,80 円,remaining:◯
0,コバルオン,051/070,80 円,remaining:◯
0,ヨクバリス,059/070,80 円,remaining:◯
0,バチンキー,007/070,50 円,remaining:◯
0,ゴルダック,010/070,50 円,remaining:◯
0,デンリュウ,020/070,50 円,remaining:◯
0,ゼブライカ,022/070,50 円,remaining:◯
0,ゴースト,026/070,50 円,remaining:◯
0,ゴルーグ,031/070,50 円,remaining:◯
0,カラマネロ,033/070,50 円,remaining:◯
0,ガマゲロゲ,039/070,50 円,remaining:◯
0,マタドガス,045/070,50 円,remaining:◯
0,ガラルマタドガス,046/070,50 円,remaining:◯
0,ダーテング,048/070,50 円,remaining:◯
0,ファイアロー,057/070,50 円,remaining:◯
0,霧の水晶,060/070,80 円,remaining:◯
0,草取りグローブ,061/070,50 円,remaining:◯
0,正義のグローブ,062/070,50 円,remaining:◯
0,れんげきの巻物 天の巻,063/070,50 円,remaining:◯
0,カトレア,064/070,80 円,remaining:◯
0,キクコ,065/070,80 円,remaining:◯
0,シャクヤ,066/070,80 円,remaining:◯
0,ズミ,067/070,50 円,remaining:◯
0,いにしえの墓地,068/070,50 円,remaining:◯
0,スパイラルエネルギー,069/070,50 円,remaining:◯
0,ラッキーエネルギー,070/070,50 円,remaining:◯
0,レディバ,001/070,30 円,remaining:◯
0,レディアン,002/070,30 円,remaining:◯
0,タネボー,005/070,30 円,remaining:◯
0,サルノリ,006/070,50 円,remaining:◯
0,コダック,009/070,30 円,remaining:◯
0,ニューラ,011/070,30 円,remaining:◯
0,ポワルン あまみずのすがた,013/070,30 円,remaining:◯
0,ラブカス,014/070,30 円,remaining:◯
0,オタマロ,015/070,30 円,remaining:◯
0,メリープ,018/070,50 円,remaining:◯
0,モココ,019/070,30 円,remaining:◯
0,シママ,021/070,30 円,remaining:◯
0,エモンガ,023/070,30 円,remaining:◯
0,ゴース,025/070,30 円,remaining:◯
0,ヤミラミ,028/070,30 円,remaining:◯
0,ゴビット,030/070,30 円,remaining:◯
0,マーイーカ,032/070,30 円,remaining:◯
0,アブリー,034/070,30 円,remaining:◯
0,アブリボン,035/070,30 円,remaining:◯
0,ガマガル,038/070,30 円,remaining:◯
0,マケンカニ,040/070,30 円,remaining:◯
0,ケケンカニ,041/070,30 円,remaining:◯
0,タタッコ,042/070,30 円,remaining:◯
0,ドガース,044/070,30 円,remaining:◯
0,コノハナ,047/070,30 円,remaining:◯
0,ポワルン,053/070,30 円,remaining:◯
0,カクレオン,054/070,30 円,remaining:◯
0,ヤヤコマ,055/070,30 円,remaining:◯
0,ヒノヤコマ,056/070,30 円,remaining:◯
0,ホシガリス,058/070,30 円,remaining:◯
