,card_name,card_num,price,status
0,ルギアVSTAR,123/098,"2,980 円",remaining:×
0,葉隠れポンチョ,124/098,780 円,remaining:×
0,大口の沼,125/098,980 円,remaining:2pcs
0,レジエレキVMAX,115/098,780 円,remaining:9pcs
0,アンノーンVSTAR,116/098,980 円,remaining:1pcs
0,レジドラゴVSTAR,117/098,780 円,remaining:×
0,ルギアVSTAR,118/098,"2,480 円",remaining:2pcs
0,さぎょういん,119/098,980 円,remaining:8pcs
0,ジンダイ,120/098,780 円,remaining:1pcs
0,スズナ,121/098,"1,480 円",remaining:◯
0,ワタル,122/098,780 円,remaining:4pcs
0,ブリガロンV,099/098,680 円,remaining:7pcs
0,オムスターV,100/098,680 円,remaining:6pcs
0,レジエレキV,101/098,780 円,remaining:2pcs
0,アンノーンV,102/098,680 円,remaining:1pcs
0,アンノーンV,103/098,"2,480 円",remaining:1pcs
0,ヒスイウインディV,104/098,780 円,remaining:4pcs
0,スカタンクV,105/098,680 円,remaining:×
0,スカタンクV,106/098,980 円,remaining:2pcs
0,レジドラゴV,107/098,780 円,remaining:1pcs
0,レジドラゴV,108/098,"2,480 円",remaining:2pcs
0,ルギアV,109/098,"1,780 円",remaining:×
0,ルギアV,110/098,"39,800 円",remaining:×
0,さぎょういん,111/098,"1,780 円",remaining:6pcs
0,ジンダイ,112/098,680 円,remaining:3pcs
0,スズナ,113/098,"7,980 円",remaining:10pcs
0,ワタル,114/098,780 円,remaining:◯
0,レジエレキVMAX,034/098,220 円,remaining:◯
0,アンノーンVSTAR,036/098,120 円,remaining:◯
0,レジドラゴVSTAR,077/098,220 円,remaining:◯
0,ルギアVSTAR,080/098,680 円,remaining:◯
0,ブリガロンV,009/098,80 円,remaining:◯
0,オムスターV,018/098,120 円,remaining:◯
0,レジエレキV,033/098,320 円,remaining:◯
0,アンノーンV,035/098,120 円,remaining:◯
0,ヒスイウインディV,046/098,420 円,remaining:◯
0,スカタンクV,056/098,80 円,remaining:◯
0,レジドラゴV,076/098,420 円,remaining:◯
0,ルギアV,079/098,780 円,remaining:◯
0,アリアドス,007/098,80 円,remaining:◯
0,ギャロップ,011/098,80 円,remaining:◯
0,チャーレム,038/098,80 円,remaining:◯
0,ランクルス,042/098,80 円,remaining:◯
0,テラキオン,051/098,120 円,remaining:◯
0,ボスゴドラ,067/098,80 円,remaining:◯
0,カイリュー,072/098,80 円,remaining:6pcs
0,アーケオス,083/098,500 円,remaining:◯
0,大地の封印石,091/098,80 円,remaining:◯
0,森の封印石,092/098,580 円,remaining:◯
0,キレイハナ,003/098,50 円,remaining:◯
0,モジャンボ,005/098,50 円,remaining:◯
0,ウルガモス,014/098,50 円,remaining:◯
0,ガオガエン,017/098,50 円,remaining:◯
0,オニゴーリ,020/098,50 円,remaining:◯
0,ユキメノコ,021/098,50 円,remaining:◯
0,ケルディオ,023/098,50 円,remaining:◯
0,ライチュウ,025/098,50 円,remaining:◯
0,レントラー,028/098,80 円,remaining:◯
0,ゼラオラ,032/098,120 円,remaining:◯
0,オーベム,044/098,50 円,remaining:◯
