,card_name,card_num,price,status
0,サーナイトEX,059/054,"29,800 円",remaining:×
0,マギアナEX,055/054,"3,480 円",remaining:×
0,サーナイトEX,056/054,"12,800 円",remaining:×
0,MサーナイトEX,057/054,"19,800 円",remaining:×
0,ポケモンレンジャー,058/054,"24,800 円",remaining:×
0,メガヤンマBREAK,008/054,180 円,remaining:×
0,イベルタルBREAK,034/054,420 円,remaining:×
0,マギアナEX,035/054,180 円,remaining:2pcs
0,サーナイトEX,038/054,220 円,remaining:×
0,MサーナイトEX,039/054,980 円,remaining:×
0,サザンドラBREAK,043/054,420 円,remaining:×
0,ゴウカザル,013/054,120 円,remaining:×
0,デンリュウ,019/054,120 円,remaining:×
0,フーパ,023/054,120 円,remaining:1pcs
0,キリキザン,032/054,120 円,remaining:×
0,イベルタル,033/054,120 円,remaining:2pcs
0,サザンドラ,042/054,120 円,remaining:×
0,モジャンボ,002/054,80 円,remaining:◯
0,ワタッコ,005/054,80 円,remaining:◯
0,メガヤンマ,007/054,80 円,remaining:◯
0,ウルガモス,010/054,80 円,remaining:×
0,クレベース,016/054,80 円,remaining:◯
0,ニドキング,022/054,80 円,remaining:6pcs
0,オコリザル,025/054,80 円,remaining:◯
0,アーマルド,027/054,80 円,remaining:◯
0,マニューラ,029/054,80 円,remaining:1pcs
0,マリルリ,037/054,120 円,remaining:×
0,ウォーグル,047/054,80 円,remaining:◯
0,スペシャルチャージ,050/054,"1,280 円",remaining:2pcs
0,欲張りダイス,051/054,420 円,remaining:3pcs
0,サーナイトソウルリンク,052/054,80 円,remaining:×
0,ニンジャごっこ,053/054,120 円,remaining:◯
0,ポケモンレンジャー,054/054,680 円,remaining:×
0,モンジャラ,001/054,50 円,remaining:◯
0,ハネッコ,003/054,50 円,remaining:◯
0,ポポッコ,004/054,50 円,remaining:◯
0,ヤンヤンマ,006/054,50 円,remaining:◯
0,メラルバ,009/054,50 円,remaining:◯
0,ヒコザル,011/054,50 円,remaining:◯
0,モウカザル,012/054,50 円,remaining:◯
0,マンタイン,014/054,50 円,remaining:◯
0,カチコール,015/054,50 円,remaining:◯
0,メリープ,017/054,50 円,remaining:◯
0,モココ,018/054,50 円,remaining:◯
0,ニドラン♂,020/054,50 円,remaining:◯
0,ニドリーノ,021/054,50 円,remaining:◯
0,マンキー,024/054,50 円,remaining:◯
0,アノプス,026/054,50 円,remaining:◯
0,ニューラ,028/054,50 円,remaining:5pcs
0,ミカルゲ,030/054,50 円,remaining:◯
0,コマタナ,031/054,50 円,remaining:◯
0,マリル,036/054,50 円,remaining:×
0,モノズ,040/054,50 円,remaining:◯
0,ジヘッド,041/054,50 円,remaining:◯
0,ニャース,044/054,50 円,remaining:×
0,ペルシアン,045/054,50 円,remaining:◯
0,ワシボン,046/054,50 円,remaining:8pcs
0,ルチャブル,048/054,50 円,remaining:◯
0,ツメの化石 アノプス,049/054,50 円,remaining:◯
