,card_name,card_num,price,status
0,ふしぎなアメ,066/051,"24,800 円",remaining:×
0,ダブル無色エネルギー,067/051,"29,800 円",remaining:×
0,基本草エネルギー,068/051,"9,980 円",remaining:×
0,ジュナイパーGX,059/051,"5,980 円",remaining:×
0,ガオガエンGX,060/051,"4,980 円",remaining:×
0,アシレーヌGX,061/051,"19,800 円",remaining:×
0,クワガノンGX,062/051,"2,480 円",remaining:×
0,ドヒドイデGX,063/051,"4,980 円",remaining:×
0,ニンフィアGX,064/051,"298,000 円",remaining:×
0,ジジーロンGX,065/051,"1,980 円",remaining:2pcs
0,ジュナイパーGX,052/051,"1,280 円",remaining:1pcs
0,ガオガエンGX,053/051,"1,480 円",remaining:×
0,アシレーヌGX,054/051,"5,980 円",remaining:×
0,クワガノンGX,055/051,980 円,remaining:×
0,ドヒドイデGX,056/051,980 円,remaining:×
0,ニンフィアGX,057/051,"39,800 円",remaining:2pcs
0,ジジーロンGX,058/051,980 円,remaining:1pcs
0,ジュナイパーGX,003/051,220 円,remaining:×
0,ガオガエンGX,009/051,220 円,remaining:×
0,アシレーヌGX,016/051,220 円,remaining:×
0,クワガノンGX,021/051,220 円,remaining:6pcs
0,ドヒドイデGX,026/051,220 円,remaining:1pcs
0,ニンフィアGX,040/051,680 円,remaining:×
0,ジジーロンGX,042/051,220 円,remaining:10pcs
0,基本フェアリーエネルギー(キラ),-,80 円,remaining:◯
0,基本鋼エネルギー(キラ),-,80 円,remaining:10pcs
0,基本超エネルギー(キラ),-,80 円,remaining:◯
0,基本炎エネルギー(キラ),-,80 円,remaining:×
0,基本草エネルギー(キラ),-,80 円,remaining:×
0,モクロー(キラ),001/051,30 円,remaining:×
0,フクスロー(キラ),002/051,30 円,remaining:1pcs
0,アゴジムシ(キラ),004/051,30 円,remaining:◯
0,カリキリ(キラ),005/051,30 円,remaining:◯
0,ラランテス(キラ),006/051,50 円,remaining:×
0,ニャビー(キラ),007/051,30 円,remaining:◯
0,ニャヒート(キラ),008/051,30 円,remaining:×
0,オドリドリ(キラ),010/051,30 円,remaining:◯
0,ニョロモ(キラ),011/051,30 円,remaining:◯
0,ニョロゾ(キラ),012/051,30 円,remaining:2pcs
0,ニョロトノ(キラ),013/051,30 円,remaining:×
0,アシマリ(キラ),014/051,30 円,remaining:2pcs
0,オシャマリ(キラ),015/051,30 円,remaining:×
0,シズクモ(キラ),017/051,30 円,remaining:◯
0,オニシズクモ(キラ),018/051,30 円,remaining:1pcs
0,ナマコブシ(キラ),019/051,30 円,remaining:6pcs
0,デンヂムシ(キラ),020/051,30 円,remaining:◯
0,オドリドリ(キラ),022/051,30 円,remaining:×
0,オドリドリ(キラ),023/051,80 円,remaining:×
0,オドリドリ(キラ),024/051,50 円,remaining:×
0,ヒドイデ(キラ),025/051,30 円,remaining:◯
0,コスモッグ(キラ),027/051,30 円,remaining:◯
0,コスモウム(キラ),028/051,30 円,remaining:◯
0,ルナアーラ(キラ),029/051,30 円,remaining:1pcs
0,ウソッキー(キラ),030/051,220 円,remaining:◯
0,ドロバンコ(キラ),031/051,30 円,remaining:◯
0,バンバドロ(キラ),032/051,30 円,remaining:1pcs
0,ナゲツケサル(キラ),033/051,30 円,remaining:◯
0,スナバァ(キラ),034/051,30 円,remaining:◯
0,シロデスナ(キラ),035/051,30 円,remaining:10pcs
0,アローラコラッタ(キラ),036/051,30 円,remaining:◯
0,アローララッタ(キラ),037/051,30 円,remaining:2pcs
0,アブソル(キラ),038/051,80 円,remaining:×
0,ソルガレオ(キラ),039/051,30 円,remaining:×
0,イーブイ(キラ),041/051,120 円,remaining:×
0,エネルギーリサイクル(キラ),043/051,120 円,remaining:8pcs
0,改造ハンマー(キラ),044/051,80 円,remaining:×
0,ハイパーボール(キラ),045/051,320 円,remaining:×
0,ふしぎなアメ(キラ),046/051,180 円,remaining:×
0,マルチつけかえ(キラ),047/051,80 円,remaining:×
0,まんたんのくすり(キラ),048/051,120 円,remaining:×
0,こだわりハチマキ(キラ),049/051,120 円,remaining:8pcs
0,月輪の祭壇(キラ),050/051,80 円,remaining:5pcs
0,日輪の祭壇(キラ),051/051,50 円,remaining:◯
