,card_name,card_num,price,status
0,Uターンボード,067/054,780 円,remaining:×
0,トキワの森,068/054,"1,980 円",remaining:2pcs
0,リサイクルエネルギー,069/054,780 円,remaining:×
0,モクロー＆アローラナッシーGX,063/054,"1,980 円",remaining:7pcs
0,ケルディオGX,064/054,"1,480 円",remaining:×
0,アーゴヨンGX,065/054,980 円,remaining:2pcs
0,ファイヤー＆サンダー＆フリーザーGX,066/054,"9,980 円",remaining:×
0,モクロー＆アローラナッシーGX,055/054,980 円,remaining:×
0,モクロー＆アローラナッシーGX,056/054,"7,980 円",remaining:4pcs
0,ケルディオGX,057/054,780 円,remaining:2pcs
0,アーゴヨンGX,058/054,780 円,remaining:1pcs
0,ファイヤー＆サンダー＆フリーザーGX,059/054,"7,980 円",remaining:5pcs
0,ファイヤー＆サンダー＆フリーザーGX,060/054,"79,800 円",remaining:2pcs
0,かいじゅうマニア,061/054,"1,280 円",remaining:5pcs
0,ムサシとコジロウ,062/054,"14,800 円",remaining:1pcs
0,ネットボール,051/054,500 円,remaining:×
0,グラジオ,052/054,680 円,remaining:×
0,リーリエ,053/054,"4,980 円",remaining:◯
0,ルザミーネ,054/054,"1,280 円",remaining:4pcs
0,モクロー＆アローラナッシーGX,001/054,420 円,remaining:◯
0,ケルディオGX,019/054,120 円,remaining:◯
0,アーゴヨンGX,034/054,120 円,remaining:◯
0,ファイヤー＆サンダー＆フリーザーGX,035/054,180 円,remaining:×
0,アマージョ,008/054,80 円,remaining:×
0,ビクティニ,011/054,80 円,remaining:◯
0,ユキメノコ,015/054,80 円,remaining:◯
0,ジバコイル,023/054,80 円,remaining:◯
0,ユクシー,029/054,80 円,remaining:×
0,シルヴァディ,043/054,80 円,remaining:×
0,ムサシとコジロウ,048/054,80 円,remaining:×
0,イワパレス,003/054,50 円,remaining:◯
0,バクーダ,010/054,50 円,remaining:◯
0,ファイアロー,013/054,50 円,remaining:◯
0,ユキノオー,017/054,50 円,remaining:◯
0,カプ・レヒレ,020/054,50 円,remaining:◯
0,デンジュモク,024/054,50 円,remaining:◯
0,アーボック,026/054,50 円,remaining:◯
0,マタドガス,028/054,50 円,remaining:◯
0,ベロベルト,037/054,50 円,remaining:◯
0,タブンネ,040/054,50 円,remaining:◯
0,ノーマルZたいあたり,044/054,50 円,remaining:◯
0,ヒコウZエアスラッシュ,045/054,50 円,remaining:◯
0,Uターンボード,046/054,80 円,remaining:◯
0,かいじゅうマニア,047/054,50 円,remaining:◯
0,ブリザードタウン,049/054,50 円,remaining:◯
0,リサイクルエネルギー,050/054,80 円,remaining:◯
0,イシズマイ,002/054,30 円,remaining:◯
0,カリキリ,004/054,30 円,remaining:◯
0,ラランテス,005/054,30 円,remaining:◯
0,アマカジ,006/054,30 円,remaining:◯
0,アママイコ,007/054,30 円,remaining:◯
0,ドンメル,009/054,30 円,remaining:◯
0,ヒノヤコマ,012/054,30 円,remaining:◯
0,ユキワラシ,014/054,30 円,remaining:◯
0,ユキカブリ,016/054,30 円,remaining:◯
0,フリージオ,018/054,80 円,remaining:◯
0,コイル,021/054,30 円,remaining:◯
0,レアコイル,022/054,30 円,remaining:◯
0,アーボ,025/054,30 円,remaining:◯
0,ドガース,027/054,30 円,remaining:◯
0,エムリット,030/054,30 円,remaining:◯
0,アグノム,031/054,30 円,remaining:◯
0,ベベノム,032/054,30 円,remaining:◯
0,クリムガン,033/054,30 円,remaining:◯
0,ベロリンガ,036/054,30 円,remaining:◯
0,ホーホー,038/054,30 円,remaining:◯
0,ヨルノズク,039/054,30 円,remaining:◯
0,ヤヤコマ,041/054,30 円,remaining:◯
0,タイプ:ヌル,042/054,30 円,remaining:◯
