,card_name,card_num,price,status
0,ミライドンex,106/078,"1,480 円",remaining:◯
0,ふしぎなアメ,107/078,"4,980 円",remaining:×
0,基本雷エネルギー,108/078,"1,780 円",remaining:3pcs
0,ワナイダーex,101/078,980 円,remaining:5pcs
0,ミライドンex,102/078,"8,980 円",remaining:7pcs
0,テツノワダチex,103/078,980 円,remaining:×
0,ペパー,104/078,"2,980 円",remaining:×
0,ミモザ,105/078,"39,800 円",remaining:5pcs
0,ワナイダーex,091/078,680 円,remaining:◯
0,ウインディex,092/078,680 円,remaining:◯
0,ジバコイルex,093/078,680 円,remaining:5pcs
0,ミライドンex,094/078,680 円,remaining:1pcs
0,ジュペッタex,095/078,680 円,remaining:3pcs
0,テツノワダチex,096/078,680 円,remaining:4pcs
0,カエデ,097/078,980 円,remaining:◯
0,博士の研究[フトゥー博士],098/078,980 円,remaining:×
0,ペパー,099/078,"2,980 円",remaining:×
0,ミモザ,100/078,"8,980 円",remaining:◯
0,タマンチュラ,079/078,180 円,remaining:9pcs
0,ノノクラゲ,080/078,180 円,remaining:10pcs
0,スコヴィラン,081/078,180 円,remaining:◯
0,ヤドン,082/078,320 円,remaining:◯
0,ウデッポウ,083/078,180 円,remaining:7pcs
0,パチリス,084/078,180 円,remaining:◯
0,パーモット,085/078,180 円,remaining:3pcs
0,スリープ,086/078,180 円,remaining:4pcs
0,ボチ,087/078,180 円,remaining:◯
0,マフィティフ,088/078,180 円,remaining:◯
0,オトシドリ,089/078,180 円,remaining:◯
0,ホシガリス,090/078,180 円,remaining:×
0,ワナイダーex,008/078,120 円,remaining:◯
0,ウインディex,016/078,120 円,remaining:◯
0,ジバコイルex,028/078,120 円,remaining:◯
0,ミライドンex,037/078,120 円,remaining:◯
0,ジュペッタex,041/078,120 円,remaining:◯
0,テツノワダチex,058/078,120 円,remaining:◯
0,ヤドラン,020/078,80 円,remaining:◯
0,パーモット,036/078,80 円,remaining:◯
0,クレッフィ,045/078,80 円,remaining:◯
0,ハカドッグ,048/078,80 円,remaining:◯
0,コノヨザル,051/078,80 円,remaining:◯
0,イエッサン,063/078,80 円,remaining:◯
0,モトトカゲ,068/078,80 円,remaining:◯
0,博士の研究[フトゥー博士],075/078,80 円,remaining:◯
0,ヘラクロス,002/078,50 円,remaining:◯
0,ビビヨン,005/078,50 円,remaining:◯
0,リククラゲ,011/078,50 円,remaining:◯
0,スコヴィラン,014/078,50 円,remaining:◯
0,ハルクジラ,025/078,50 円,remaining:◯
0,パチリス,029/078,50 円,remaining:◯
0,ストリンダー,032/078,50 円,remaining:◯
0,スリーパー,039/078,50 円,remaining:◯
0,フラージェス,044/078,50 円,remaining:◯
0,ミカルゲ,052/078,50 円,remaining:◯
0,マフィティフ,055/078,50 円,remaining:◯
0,オトシドリ,056/078,50 円,remaining:◯
0,フォレトス,057/078,50 円,remaining:◯
0,ハピナス,060/078,50 円,remaining:◯
0,ヨクバリス,062/078,50 円,remaining:◯
0,イッカネズミ,066/078,50 円,remaining:◯
0,エレキジェネレーター,069/078,80 円,remaining:◯
0,ハイパーボール,070/078,80 円,remaining:◯
0,ピクニックバスケット,071/078,50 円,remaining:◯
0,ふしぎなアメ,072/078,80 円,remaining:◯
0,ゴツゴツメット,073/078,80 円,remaining:◯
0,カエデ,074/078,50 円,remaining:◯
0,ペパー,076/078,180 円,remaining:◯
0,ミモザ,077/078,80 円,remaining:◯
0,テーブルシティ,078/078,80 円,remaining:◯
0,クヌギダマ,001/078,30 円,remaining:◯
0,コフキムシ,003/078,30 円,remaining:◯
0,コフーライ,004/078,30 円,remaining:◯
0,タマンチュラ,006/078,30 円,remaining:◯
0,タマンチュラ,007/078,30 円,remaining:◯
0,ノノクラゲ,009/078,30 円,remaining:◯
0,ノノクラゲ,010/078,30 円,remaining:◯
0,カプサイジ,012/078,30 円,remaining:◯
0,カプサイジ,013/078,30 円,remaining:◯
0,ガーディ,015/078,30 円,remaining:◯
0,デルビル,017/078,30 円,remaining:◯
0,ヘルガー,018/078,30 円,remaining:◯
0,ヤドン,019/078,30 円,remaining:◯
0,ウデッポウ,021/078,30 円,remaining:◯
0,ブロスター,022/078,30 円,remaining:◯
0,アルクジラ,023/078,30 円,remaining:◯
0,アルクジラ,024/078,30 円,remaining:◯
0,コイル,026/078,50 円,remaining:◯
0,レアコイル,027/078,30 円,remaining:◯
0,ロトム,030/078,30 円,remaining:◯
0,エレズン,031/078,30 円,remaining:◯
0,パモ,033/078,30 円,remaining:◯
0,パモ,034/078,30 円,remaining:◯
0,パモット,035/078,30 円,remaining:◯
0,スリープ,038/078,30 円,remaining:◯
0,カゲボウズ,040/078,50 円,remaining:◯
0,フラベベ,042/078,30 円,remaining:◯
0,フラエッテ,043/078,30 円,remaining:◯
0,ボチ,046/078,30 円,remaining:◯
0,ボチ,047/078,30 円,remaining:◯
0,マンキー,049/078,30 円,remaining:◯
0,オコリザル,050/078,30 円,remaining:◯
0,オラチフ,053/078,30 円,remaining:◯
0,オラチフ,054/078,30 円,remaining:◯
0,ラッキー,059/078,30 円,remaining:◯
0,ホシガリス,061/078,80 円,remaining:◯
0,ワッカネズミ,064/078,30 円,remaining:◯
0,ワッカネズミ,065/078,30 円,remaining:◯
0,イキリンコ,067/078,30 円,remaining:◯
