,card_name,card_num,price,status
0,トルネロス,054/053,"1,980 円",remaining:×
0,レシラム,055/053,"14,800 円",remaining:×
0,エンブオー,010/053,320 円,remaining:×
0,レシラム,013/053,500 円,remaining:×
0,ツンベアー,018/053,220 円,remaining:2pcs
0,ゴチルゼル,028/053,500 円,remaining:6pcs
0,ドリュウズ,032/053,220 円,remaining:3pcs
0,ギギギアル,040/053,320 円,remaining:1pcs
0,トルネロス,047/053,220 円,remaining:×
0,ハハコモリ,003/053,120 円,remaining:10pcs
0,エルフーン,005/053,120 円,remaining:×
0,メブキジカ,007/053,120 円,remaining:1pcs
0,チャオブー,009/053,120 円,remaining:10pcs
0,スワンナ,016/053,120 円,remaining:◯
0,ゼブライカ,020/053,120 円,remaining:◯
0,ムシャーナ,023/053,120 円,remaining:◯
0,ココロモリ,025/053,120 円,remaining:10pcs
0,ゴチミル,027/053,120 円,remaining:8pcs
0,ガントル,030/053,120 円,remaining:◯
0,ズルズキン,035/053,120 円,remaining:◯
0,バルチャイ,036/053,120 円,remaining:◯
0,バルジーナ,037/053,120 円,remaining:◯
0,ギギアル,039/053,120 円,remaining:◯
0,チラチーノ,045/053,120 円,remaining:×
0,バッフロン,046/053,120 円,remaining:7pcs
0,エネルギー回収,048/053,320 円,remaining:×
0,クラッシュハンマー,049/053,80 円,remaining:×
0,ポケモン通信,050/053,420 円,remaining:×
0,まんたんのくすり,051/053,180 円,remaining:×
0,リサイクル,052/053,180 円,remaining:×
0,アララギ博士,053/053,180 円,remaining:×
0,クルミル,001/053,80 円,remaining:10pcs
0,クルマユ,002/053,80 円,remaining:×
0,モンメン,004/053,80 円,remaining:×
0,シキジカ,006/053,80 円,remaining:×
0,ポカブ,008/053,80 円,remaining:2pcs
0,バオップ,011/053,80 円,remaining:9pcs
0,バオッキー,012/053,80 円,remaining:◯
0,バスラオ,014/053,80 円,remaining:9pcs
0,コアルヒー,015/053,80 円,remaining:◯
0,クマシュン,017/053,80 円,remaining:×
0,シママ,019/053,80 円,remaining:◯
0,エモンガ,021/053,80 円,remaining:3pcs
0,ムンナ,022/053,80 円,remaining:3pcs
0,コロモリ,024/053,80 円,remaining:◯
0,ゴチム,026/053,80 円,remaining:2pcs
0,ダンゴロ,029/053,80 円,remaining:6pcs
0,モグリュー,031/053,80 円,remaining:6pcs
0,ダゲキ,033/053,80 円,remaining:4pcs
0,ズルッグ,034/053,80 円,remaining:5pcs
0,ギアル,038/053,80 円,remaining:7pcs
0,マメパト,041/053,80 円,remaining:6pcs
0,ハトーボー,042/053,80 円,remaining:10pcs
0,ケンホロウ,043/053,80 円,remaining:5pcs
0,チラーミィ,044/053,80 円,remaining:×
