,card_name,card_num,price,status
0,エンブオー,056/052,"17,800 円",remaining:×
0,シャンデラ,057/052,"24,800 円",remaining:×
0,キュレムEX,053/052,"5,980 円",remaining:×
0,グラードンEX,054/052,"12,800 円",remaining:×
0,レジギガスEX,055/052,"2,980 円",remaining:×
0,ウインディ,010/052,220 円,remaining:×
0,シャンデラ,014/052,500 円,remaining:7pcs
0,バイバニラ,018/052,220 円,remaining:2pcs
0,キュレムEX,022/052,500 円,remaining:×
0,サンダー,025/052,320 円,remaining:×
0,サーナイト,028/052,"1,280 円",remaining:×
0,グラードンEX,032/052,680 円,remaining:×
0,ルカリオ,034/052,420 円,remaining:×
0,キリキザン,042/052,220 円,remaining:2pcs
0,レジギガスEX,045/052,500 円,remaining:2pcs
0,ヤナッキー,002/052,120 円,remaining:◯
0,ドレディア,004/052,120 円,remaining:×
0,メブキジカ,006/052,120 円,remaining:◯
0,ラプラス,015/052,120 円,remaining:×
0,ツンベアー,020/052,120 円,remaining:◯
0,フリージオ,021/052,120 円,remaining:◯
0,ライチュウ,024/052,120 円,remaining:×
0,ヒヒダルマ,029/052,120 円,remaining:◯
0,オーベム,031/052,120 円,remaining:◯
0,カバルドン,036/052,120 円,remaining:◯
0,マニューラ,038/052,120 円,remaining:◯
0,ドータクン,040/052,120 円,remaining:6pcs
0,ケンホロウ,048/052,120 円,remaining:6pcs
0,ヘビーボール,049/052,500 円,remaining:9pcs
0,デント,050/052,180 円,remaining:×
0,ポケモンセンター,051/052,180 円,remaining:×
0,ダブル無色エネルギー,052/052,180 円,remaining:×
0,ヤナップ,001/052,80 円,remaining:◯
0,チュリネ,003/052,80 円,remaining:7pcs
0,シキジカ,005/052,80 円,remaining:◯
0,タマゲタケ,007/052,80 円,remaining:◯
0,モロバレル,008/052,80 円,remaining:◯
0,ガーディ,009/052,80 円,remaining:×
0,ダルマッカ,011/012,80 円,remaining:◯
0,ヒトモシ,012/052,80 円,remaining:◯
0,ランプラー,013/052,80 円,remaining:◯
0,バニプッチ,016/052,80 円,remaining:◯
0,バニリッチ,017/052,80 円,remaining:◯
0,クマシュン,019/052,80 円,remaining:◯
0,ピカチュウ,023/052,780 円,remaining:1pcs
0,ラルトス,026/052,80 円,remaining:2pcs
0,キルリア,027/052,80 円,remaining:◯
0,リグレー,030/052,80 円,remaining:◯
0,リオル,033/052,80 円,remaining:×
0,ヒポポタス,035/052,80 円,remaining:◯
0,ニューラ,037/052,80 円,remaining:◯
0,ドーミラー,039/052,80 円,remaining:◯
0,コマタナ,041/052,80 円,remaining:◯
0,プリン,043/052,80 円,remaining:×
0,プクリン,044/052,30 円,remaining:×
0,マメパト,046/052,80 円,remaining:◯
0,ハトーボー,047/052,80 円,remaining:◯
