,card_name,card_num,price,status
0,ザシアンV,073/060,"5,980 円",remaining:2pcs
0,ふつうのつりざお,074/060,"1,480 円",remaining:×
0,ふうせん,075/060,"1,780 円",remaining:1pcs
0,ラプラスVMAX,069/060,980 円,remaining:2pcs
0,イシヘンジンVMAX,070/060,780 円,remaining:2pcs
0,博士の研究[マグノリア博士],071/060,"1,280 円",remaining:1pcs
0,ビート,072/060,980 円,remaining:6pcs
0,ダダリンV,061/060,680 円,remaining:6pcs
0,ラプラスV,062/060,780 円,remaining:3pcs
0,ソーナンスV,063/060,780 円,remaining:10pcs
0,イシヘンジンV,064/060,680 円,remaining:6pcs
0,ザシアンV,065/060,980 円,remaining:×
0,ウッウV,066/060,680 円,remaining:×
0,博士の研究[マグノリア博士],067/060,"1,780 円",remaining:2pcs
0,ビート,068/060,"4,980 円",remaining:×
0,ラプラスVMAX,015/060,120 円,remaining:3pcs
0,イシヘンジンVMAX,035/060,120 円,remaining:4pcs
0,ダダリンV,004/060,120 円,remaining:9pcs
0,ラプラスV,014/060,120 円,remaining:◯
0,ソーナンスV,026/060,120 円,remaining:8pcs
0,イシヘンジンV,034/060,120 円,remaining:◯
0,ザシアンV,046/060,120 円,remaining:×
0,ウッウV,051/060,120 円,remaining:10pcs
0,ゴリランダー,007/060,80 円,remaining:◯
0,インテレオン,019/060,80 円,remaining:7pcs
0,パルスワン,021/060,80 円,remaining:◯
0,ゲンガー,025/060,220 円,remaining:9pcs
0,ドクロッグ,037/060,80 円,remaining:◯
0,ガラルニャイキング,041/060,80 円,remaining:◯
0,博士の研究[マグノリア博士],059/060,120 円,remaining:◯
0,ロズレイド,002/060,50 円,remaining:◯
0,バチンキー,006/060,50 円,remaining:◯
0,マルヤクデ,011/060,50 円,remaining:◯
0,ジメレオン,018/060,80 円,remaining:×
0,ゴースト,024/060,50 円,remaining:◯
0,ポットデス,028/060,50 円,remaining:◯
0,ネンドール,031/060,50 円,remaining:◯
0,オトスパス,033/060,50 円,remaining:◯
0,フォクスライ,039/060,50 円,remaining:◯
0,アーマーガア,045/060,50 円,remaining:◯
0,チラチーノ,048/060,80 円,remaining:10pcs
0,しんかのおこう,052/060,80 円,remaining:◯
0,すごいきずぐすり,053/060,50 円,remaining:9pcs
0,ふつうのつりざお,054/060,80 円,remaining:5pcs
0,ロトムじてんしゃ,055/060,50 円,remaining:◯
0,大きなおまもり,056/060,120 円,remaining:◯
0,ふうせん,057/060,50 円,remaining:×
0,ラムのみ,058/060,50 円,remaining:◯
0,ビート,060/060,50 円,remaining:◯
0,ロゼリア,001/060,30 円,remaining:◯
0,マラカッチ,003/060,50 円,remaining:◯
0,サルノリ,005/060,50 円,remaining:◯
0,ヤトウモリ,008/060,30 円,remaining:◯
0,エンニュート,009/060,30 円,remaining:◯
0,ヤクデ,010/060,30 円,remaining:◯
0,クラブ,012/060,30 円,remaining:◯
0,キングラー,013/060,30 円,remaining:◯
0,マンタイン,016/060,30 円,remaining:◯
0,メッソン,017/060,50 円,remaining:◯
0,ワンパチ,020/060,50 円,remaining:◯
0,バチンウニ,022/060,30 円,remaining:◯
0,ゴース,023/060,30 円,remaining:◯
0,ヤバチャ,027/060,50 円,remaining:◯
0,ウソッキー,029/060,30 円,remaining:◯
0,ヤジロン,030/060,30 円,remaining:◯
0,タタッコ,032/060,30 円,remaining:◯
0,グレッグル,036/060,50 円,remaining:◯
0,クスネ,038/060,30 円,remaining:◯
0,ガラルニャース,040/060,30 円,remaining:◯
0,テッシード,042/060,30 円,remaining:◯
0,ナットレイ,043/060,30 円,remaining:◯
0,ガラルマッギョ,044/060,30 円,remaining:◯
0,チラーミィ,047/060,80 円,remaining:◯
0,ココガラ,049/060,30 円,remaining:◯
0,アオガラス,050/060,30 円,remaining:◯
