,card_name,card_num,price,status
0,あとだしハンマー,109/095,980 円,remaining:1pcs
0,ロストミキサー,110/095,"1,480 円",remaining:4pcs
0,こだわりメット,111/095,980 円,remaining:2pcs
0,ツボツボGX,104/095,"1,980 円",remaining:×
0,ズガドーンGX,105/095,980 円,remaining:2pcs
0,スイクンGX,106/095,"9,980 円",remaining:×
0,バンギラスGX,107/095,"4,980 円",remaining:×
0,ルギアGX,108/095,"34,800 円",remaining:2pcs
0,ツボツボGX,096/095,"1,280 円",remaining:5pcs
0,ズガドーンGX,097/095,780 円,remaining:1pcs
0,スイクンGX,098/095,"2,480 円",remaining:5pcs
0,バンギラスGX,099/095,"1,780 円",remaining:2pcs
0,ルギアGX,100/095,"7,980 円",remaining:1pcs
0,アカネ,101/095,"14,800 円",remaining:4pcs
0,ウツギ博士のレクチャー,102/095,"7,980 円",remaining:×
0,ザオボー,103/095,"1,480 円",remaining:×
0,セレビィ◇,015/095,420 円,remaining:◯
0,ルザミーネ◇,092/095,780 円,remaining:8pcs
0,ヒートファクトリー◇,093/095,180 円,remaining:◯
0,ツボツボGX,013/095,120 円,remaining:9pcs
0,ズガドーンGX,023/095,120 円,remaining:◯
0,スイクンGX,028/095,180 円,remaining:×
0,バンギラスGX,059/095,120 円,remaining:1pcs
0,ルギアGX,072/095,420 円,remaining:×
0,メガニウム,005/095,220 円,remaining:3pcs
0,ワタッコ,011/095,80 円,remaining:8pcs
0,バクフーン,019/095,120 円,remaining:3pcs
0,エンテイ,022/095,80 円,remaining:6pcs
0,デンリュウ,036/095,80 円,remaining:1pcs
0,ライコウ,037/095,80 円,remaining:◯
0,ウツロイド,046/095,80 円,remaining:1pcs
0,アーゴヨン,048/095,80 円,remaining:9pcs
0,ハッサム,061/095,80 円,remaining:×
0,ハピナス,067/095,80 円,remaining:×
0,ヘルガー,021/095,50 円,remaining:◯
0,ヤドキング,025/095,50 円,remaining:×
0,ドヒドイデ,030/095,50 円,remaining:◯
0,ランターン,032/095,50 円,remaining:◯
0,エーフィ,040/095,180 円,remaining:4pcs
0,アンノーン,041/095,50 円,remaining:9pcs
0,アンノーン,042/095,120 円,remaining:◯
0,アンノーン,043/095,50 円,remaining:◯
0,ソーナンス,044/095,50 円,remaining:6pcs
0,ドンファン,051/095,120 円,remaining:◯
0,アローラペルシアン,057/095,50 円,remaining:◯
