,card_name,card_num,price,status
0,リザードンex,139/108,"4,980 円",remaining:6pcs
0,ボウルタウン,140/108,"1,780 円",remaining:1pcs
0,基本炎エネルギー,141/108,"1,780 円",remaining:5pcs
0,コオリッポex,133/108,"1,280 円",remaining:×
0,リザードンex,134/108,"19,800 円",remaining:10pcs
0,ブロロロームex,135/108,980 円,remaining:×
0,ピジョットex,136/108,"1,980 円",remaining:3pcs
0,オモダカ,137/108,"1,780 円",remaining:◯
0,ポピー,138/108,"2,480 円",remaining:◯
0,コオリッポex,121/108,680 円,remaining:×
0,バンギラスex,122/108,680 円,remaining:9pcs
0,ビークインex,123/108,680 円,remaining:5pcs
0,キラフロルex,124/108,680 円,remaining:4pcs
0,リザードンex,125/108,"1,980 円",remaining:◯
0,アブソルex,126/108,680 円,remaining:◯
0,ブロロロームex,127/108,680 円,remaining:5pcs
0,ピジョットex,128/108,780 円,remaining:×
0,オモダカ,129/108,780 円,remaining:◯
0,オルティガ,130/108,"1,280 円",remaining:◯
0,ポピー,131/108,980 円,remaining:◯
0,ライム,132/108,680 円,remaining:1pcs
0,クサイハナ,109/108,180 円,remaining:◯
0,キュウコン,110/108,220 円,remaining:◯
0,イルカマン,111/108,120 円,remaining:×
0,ハラバリー,112/108,180 円,remaining:◯
0,ピィ,113/108,180 円,remaining:◯
0,ヨーギラス,114/108,180 円,remaining:◯
0,デルビル,115/108,180 円,remaining:◯
0,ハッサム,116/108,220 円,remaining:◯
0,ブロロン,117/108,180 円,remaining:◯
0,ポッポ,118/108,220 円,remaining:◯
0,ピジョン,119/108,180 円,remaining:◯
0,グルトン,120/108,180 円,remaining:◯
0,コオリッポex,020/108,120 円,remaining:◯
0,バンギラスex,032/108,120 円,remaining:◯
0,ビークインex,051/108,120 円,remaining:◯
0,キラフロルex,065/108,80 円,remaining:◯
0,リザードンex,066/108,220 円,remaining:◯
0,アブソルex,073/108,120 円,remaining:◯
0,ブロロロームex,085/108,120 円,remaining:◯
0,ピジョットex,089/108,120 円,remaining:◯
0,スコヴィラン,011/108,80 円,remaining:◯
0,エンテイ,016/108,80 円,remaining:◯
0,イルカマン,031/108,80 円,remaining:◯
