,card_name,card_num,price,status
0,カメックスEX,061/060,"12,800 円",remaining:×
0,エモンガEX,062/060,"5,980 円",remaining:×
0,イベルタルEX,063/060,"3,980 円",remaining:×
0,カメックスEX,014/060,500 円,remaining:×
0,MカメックスEX,015/060,500 円,remaining:×
0,エモンガEX,023/060,320 円,remaining:×
0,イベルタルEX,037/060,320 円,remaining:×
0,ブリガロン,009/060,120 円,remaining:5pcs
0,ファイアロー,013/060,120 円,remaining:6pcs
0,ラプラス,018/060,120 円,remaining:×
0,ラプラス(ノーマル仕様),018/060,120 円,remaining:×
0,パンプジン,028/060,120 円,remaining:5pcs
0,ドサイドン,033/060,120 円,remaining:1pcs
0,ギルガルド,041/060,120 円,remaining:2pcs
0,フレフワン,045/060,120 円,remaining:2pcs
0,トリミアン,053/060,120 円,remaining:9pcs
0,スピアー,003/060,80 円,remaining:4pcs
0,レディアン,005/060,80 円,remaining:◯
0,ハリボーグ,008/060,80 円,remaining:1pcs
0,パルシェン,017/060,80 円,remaining:3pcs
0,ペンドラー,026/060,80 円,remaining:4pcs
0,ダグトリオ,030/060,80 円,remaining:10pcs
0,サイドン,032/060,80 円,remaining:4pcs
0,カラマネロ,036/060,80 円,remaining:2pcs
0,ギルガルド,040/060,80 円,remaining:8pcs
0,プクリン,043/060,80 円,remaining:1pcs
0,エネコロロ,049/060,80 円,remaining:◯
0,いいきずぐすり,054/060,80 円,remaining:3pcs
0,はかせのてがみ,055/060,220 円,remaining:×
0,レッドカード,056/060,80 円,remaining:×
0,かたいおまもり,057/060,120 円,remaining:◯
0,クロケア,058/060,320 円,remaining:×
0,ティエルノ,059/060,80 円,remaining:9pcs
0,ダブル無色エネルギー,060/060,120 円,remaining:×
0,ビードル,001/060,50 円,remaining:◯
0,コクーン,002/060,50 円,remaining:◯
0,レディバ,004/060,50 円,remaining:◯
0,イルミーゼ,006/060,50 円,remaining:3pcs
0,ハリマロン,007/060,50 円,remaining:2pcs
0,バオップ,010/060,50 円,remaining:◯
0,バオッキー,011/060,50 円,remaining:×
0,ヒノヤコマ,012/060,50 円,remaining:◯
0,シェルダー,016/060,50 円,remaining:◯
0,ヒヤップ,019/060,50 円,remaining:◯
0,ヒヤッキー,020/060,50 円,remaining:◯
0,ビリリダマ,021/060,80 円,remaining:×
0,マルマイン,022/060,50 円,remaining:◯
0,フシデ,024/060,50 円,remaining:3pcs
0,ホイーガ,025/060,50 円,remaining:◯
0,バケッチャ,027/060,50 円,remaining:4pcs
0,ディグダ,029/060,50 円,remaining:×
0,サイホーン,031/060,50 円,remaining:◯
0,ソルロック,034/060,50 円,remaining:◯
0,マーイーカ,035/060,50 円,remaining:4pcs
0,ヒトツキ,038/060,50 円,remaining:7pcs
0,ニダンギル,039/060,50 円,remaining:◯
0,プリン,042/060,50 円,remaining:×
0,シュシュプ,044/060,50 円,remaining:9pcs
0,ドードー,046/060,50 円,remaining:◯
0,ドードリオ,047/060,50 円,remaining:×
0,エネコ,048/060,50 円,remaining:5pcs
0,ビッパ,050/060,50 円,remaining:×
0,ビーダル,051/060,50 円,remaining:◯
0,ヤヤコマ,052/060,50 円,remaining:◯
