,card_name,card_num,price,status
0,基本悪エネルギー(ボルトロス),-,50 円,remaining:×
0,基本闘エネルギー(ボルトロス),-,50 円,remaining:×
0,基本雷エネルギー(ボルトロス),-,50 円,remaining:×
0,基本鋼エネルギー(トルネロス),-,50 円,remaining:×
0,基本水エネルギー(トルネロス),-,50 円,remaining:×
0,基本炎エネルギー(トルネロス),-,50 円,remaining:×
0,アチャモ(トルネロス),001/020,30 円,remaining:×
0,コータス(トルネロス),002/020,30 円,remaining:×
0,バニプッチ(トルネロス),003/020,30 円,remaining:×
0,バニリッチ(トルネロス),004/020,30 円,remaining:×
0,バチュル(ボルトロス),005/020,30 円,remaining:×
0,ボルトロス(ボルトロス),006/020,80 円,remaining:×
0,ドッコラー(ボルトロス),007/020,30 円,remaining:×
0,ドテッコツ(ボルトロス),008/020,50 円,remaining:×
0,ズルッグ(ボルトロス),009/020,30 円,remaining:×
0,ズルズキン(ボルトロス),010/020,30 円,remaining:×
0,コマタナ(トルネロス),011/020,30 円,remaining:×
0,キリキザン(トルネロス),012/020,30 円,remaining:×
0,ペラップ(ボルトロス),013/020,30 円,remaining:×
0,トルネロス(トルネロス),014/020,80 円,remaining:×
0,エネルギー転送(ボルトロス),015/020,80 円,remaining:×
0,エネルギー転送(トルネロス),015/020,80 円,remaining:×
0,スーパーボール(トルネロス),016/020,50 円,remaining:×
0,スーパーボール(ボルトロス),016/020,50 円,remaining:×
0,ポケモンいれかえ(ボルトロス),017/020,50 円,remaining:×
0,ポケモンいれかえ(トルネロス),017/020,50 円,remaining:×
0,ポケモンキャッチャー(ボルトロス),018/020,30 円,remaining:×
0,ポケモンキャッチャー(トルネロス),018/020,30 円,remaining:×
0,チェレン(ボルトロス),019/020,30 円,remaining:×
0,チェレン(トルネロス),019/020,30 円,remaining:×
0,ベル(ボルトロス),020/020,30 円,remaining:×
0,ベル(トルネロス),020/020,30 円,remaining:×
