,card_name,card_num,price,status
0,サーナイト,074/069,"69,800 円",remaining:×
0,アーケオス,075/069,"17,800 円",remaining:×
0,ポケモンキャッチャー,076/069,"7,980 円",remaining:×
0,エンテイEX,070/069,"6,980 円",remaining:×
0,ライコウEX,071/069,"8,980 円",remaining:×
0,ダークライEX,072/069,"9,980 円",remaining:×
0,トルネロスEX,073/069,"1,480 円",remaining:×
0,フシギバナ,003/069,320 円,remaining:×
0,エンテイEX,009/069,500 円,remaining:×
0,バシャーモ,012/069,420 円,remaining:×
0,ウルガモス,015/069,320 円,remaining:1pcs
0,エンペルト,021/069,420 円,remaining:×
0,ライコウEX,025/069,680 円,remaining:×
0,シビルドン,032/069,220 円,remaining:×
0,ダークライEX,044/069,680 円,remaining:×
0,ワルビアル,047/069,220 円,remaining:×
0,ゾロアーク,049/069,320 円,remaining:×
0,ギギギアル,055/069,220 円,remaining:2pcs
0,ハピナス,057/069,320 円,remaining:2pcs
0,トルネロスEX,062/069,500 円,remaining:×
0,マスキッパ,004/069,120 円,remaining:◯
0,アギルダー,007/069,320 円,remaining:×
0,クイタラン,013/069,120 円,remaining:◯
0,ヤドラン,017/069,120 円,remaining:×
0,スワンナ,023/069,120 円,remaining:◯
0,デンチュラ,029/069,120 円,remaining:◯
0,エーフィ,033/069,420 円,remaining:×
0,ヤドキング,034/069,120 円,remaining:×
0,デスカーン,038/069,120 円,remaining:10pcs
0,プテラ,039/069,120 円,remaining:7pcs
0,ドリュウズ,041/069,120 円,remaining:◯
0,ブラッキー,042/069,680 円,remaining:×
0,ヤミラミ,043/069,320 円,remaining:×
0,ワルビル,046/069,120 円,remaining:◯
0,シュバルゴ,052/069,120 円,remaining:◯
0,ムーランド,061/069,120 円,remaining:◯
0,改造ハンマー,063/069,120 円,remaining:×
0,ダークパッチ,064/069,220 円,remaining:1pcs
0,ふしぎなアメ,065/069,80 円,remaining:×
0,ひみつのコハク プテラ,066/069,120 円,remaining:4pcs
0,悪のツメ,067/069,120 円,remaining:×
0,バッドチームのジムとサブ,068/069,180 円,remaining:◯
0,ネジ山,069/069,180 円,remaining:8pcs
0,フシギダネ,001/069,80 円,remaining:×
0,フシギソウ,002/069,80 円,remaining:×
0,カブルモ,005/069,80 円,remaining:◯
0,チョボマキ,006/069,80 円,remaining:◯
0,ブースター,008/069,320 円,remaining:×
0,アチャモ,010/069,80 円,remaining:×
0,ワカシャモ,011/069,80 円,remaining:◯
0,メラルバ,014/069,80 円,remaining:◯
0,ヤドン,016/069,80 円,remaining:×
0,シャワーズ,018/069,320 円,remaining:×
0,ポッチャマ,019/069,80 円,remaining:×
0,ポッタイシ,020/069,80 円,remaining:◯
0,コアルヒー,022/069,80 円,remaining:◯
0,サンダース,024/069,320 円,remaining:×
0,プラスル,026/069,80 円,remaining:×
0,マイナン,027/069,80 円,remaining:1pcs
0,バチュル,028/069,80 円,remaining:◯
0,シビシラス,030/069,80 円,remaining:◯
0,シビビール,031/069,80 円,remaining:◯
0,コロモリ,035/069,80 円,remaining:◯
0,ココロモリ,036/069,80 円,remaining:◯
0,デスマス,037/069,80 円,remaining:◯
0,モグリュー,040/069,80 円,remaining:◯
0,メグロコ,045/069,80 円,remaining:◯
0,ゾロア,048/069,120 円,remaining:3pcs
0,バルチャイ,050/069,80 円,remaining:◯
0,バルジーナ,051/069,80 円,remaining:◯
0,ギアル,053/069,80 円,remaining:◯
0,ギギアル,054/069,80 円,remaining:◯
0,ラッキー,056/069,80 円,remaining:10pcs
0,イーブイ,058/069,220 円,remaining:×
0,ヨーテリー,059/069,80 円,remaining:◯
0,ハーデリア,060/069,80 円,remaining:◯
