,card_name,card_num,price,status
0,基本雷エネルギー,-,680 円,remaining:◯
0,基本炎エネルギー,-,680 円,remaining:◯
0,ヒトカゲ,001/032,"1,280 円",remaining:3pcs
0,リザード,002/032,580 円,remaining:1pcs
0,リザードン,003/032,"19,800 円",remaining:2pcs
0,ポニータ,004/032,180 円,remaining:3pcs
0,ギャロップ,005/032,180 円,remaining:3pcs
0,ブーバー,006/032,220 円,remaining:×
0,ホウオウex,007/032,500 円,remaining:×
0,ピカチュウ,008/032,"9,980 円",remaining:6pcs
0,ライチュウ,009/032,580 円,remaining:4pcs
0,ビリリダマ,010/032,220 円,remaining:2pcs
0,マルマイン,011/032,180 円,remaining:×
0,サンダー,012/032,320 円,remaining:×
0,ピッピ,013/032,320 円,remaining:×
0,ピクシー,014/032,180 円,remaining:×
0,ノコッチ,015/032,120 円,remaining:3pcs
0,オドシシ,016/032,120 円,remaining:2pcs
0,ミルタンク,017/032,120 円,remaining:2pcs
0,スーパーポケモン回収,018/032,80 円,remaining:3pcs
0,すごいつりざお,019/032,180 円,remaining:1pcs
0,ハイパーボール,020/032,80 円,remaining:8pcs
0,パソコン通信,021/032,80 円,remaining:8pcs
0,バトルサーチャー,022/032,320 円,remaining:5pcs
0,ふしぎなアメ,023/032,220 円,remaining:6pcs
0,ポケモンいれかえ,024/032,80 円,remaining:8pcs
0,モンスターボール,025/032,80 円,remaining:10pcs
0,灼熱のもくたん,026/032,80 円,remaining:1pcs
0,オーキド博士,027/032,80 円,remaining:◯
0,ポケモンだいすきクラブ,028/032,80 円,remaining:5pcs
0,ボスの指令[サカキ],029/032,80 円,remaining:×
0,マサキ,030/032,80 円,remaining:◯
0,ロケット団の幹部,031/032,80 円,remaining:9pcs
0,無色2個エネルギー,032/032,80 円,remaining:2pcs
