,card_name,card_num,price,status
0,ギャラドス,002/015,80 円,remaining:×
0,ガブリアス,007/015,80 円,remaining:×
0,ブレンドエネルギー 水雷闘鋼(キラ),015/015,500 円,remaining:×
0,基本水エネルギー,-,50 円,remaining:×
0,基本雷エネルギー,-,50 円,remaining:×
0,基本闘エネルギー,-,50 円,remaining:×
0,コイキング,001/015,30 円,remaining:×
0,ラクライ,003/015,30 円,remaining:×
0,ライボルト,004/015,50 円,remaining:×
0,フカマル,005/015,30 円,remaining:×
0,ガバイト,006/015,30 円,remaining:×
0,チルット,008/015,50 円,remaining:×
0,チラーミィ,009/015,50 円,remaining:×
0,ハイパーボール,010/015,80 円,remaining:×
0,ふしぎなアメ,011/015,80 円,remaining:×
0,大きなマント,012/015,80 円,remaining:×
0,アララギ博士,013/015,80 円,remaining:×
0,チェレン,014/015,30 円,remaining:×
0,ブレンドエネルギー 水雷闘鋼,015/015,420 円,remaining:×
