,card_name,card_num,price,status
0,リザードンEX,001/049,680 円,remaining:×
0,フォッコ,002/049,30 円,remaining:×
0,テールナー,003/049,30 円,remaining:×
0,マフォクシー,004/049,30 円,remaining:×
0,シシコ,005/049,30 円,remaining:4pcs
0,カエンジシ,006/049,220 円,remaining:5pcs
0,ズバット,007/049,30 円,remaining:×
0,ゴルバット,008/049,30 円,remaining:×
0,クロバット,009/049,30 円,remaining:×
0,ゲンガーEX,010/049,500 円,remaining:×
0,MゲンガーEX,011/049,500 円,remaining:×
0,ソーナンス,012/049,680 円,remaining:×
0,ワンリキー,013/049,30 円,remaining:×
0,ゴーリキー,014/049,30 円,remaining:×
0,カイリキー,015/049,50 円,remaining:×
0,グラードンEX,016/049,120 円,remaining:×
0,ゲンシグラードンEX,017/049,500 円,remaining:×
0,ルカリオEX,018/049,180 円,remaining:×
0,ランドロス,019/049,30 円,remaining:×
0,シュシュプ,020/049,30 円,remaining:×
0,フレフワン,021/049,80 円,remaining:6pcs
0,ゼルネアス,022/049,50 円,remaining:×
0,ゼルネアスEX,023/049,180 円,remaining:×
0,ガルーラEX,024/049,80 円,remaining:×
0,ミルタンク,025/049,50 円,remaining:5pcs
0,トリミアン,026/049,50 円,remaining:2pcs
0,げんきのかたまり,027/049,30 円,remaining:×
0,ハイパーボール,028/049,80 円,remaining:×
0,はかせのてがみ,029/049,220 円,remaining:×
0,バトルサーチャー,030/049,980 円,remaining:×
0,ふしぎなアメ,031/049,80 円,remaining:×
0,ポケモンいれかえ,032/049,50 円,remaining:×
0,ポケモンキャッチャー,033/049,30 円,remaining:×
0,みがわりロボ（フレア団ギア）,034/049,220 円,remaining:×
0,かたいおまもり,035/049,120 円,remaining:5pcs
0,ちからのハチマキ,036/049,320 円,remaining:×
0,グラードンソウルリンク,037/049,50 円,remaining:×
0,ゲンガーソウルリンク,038/049,80 円,remaining:×
0,鍛冶屋,039/049,120 円,remaining:3pcs
0,コルニ,040/049,120 円,remaining:×
0,サナ,041/049,30 円,remaining:×
0,ティエルノ,042/049,30 円,remaining:8pcs
0,プラターヌ博士,043/049,80 円,remaining:×
0,フラダリ,044/049,120 円,remaining:7pcs
0,ポケモンだいすきクラブ,045/049,80 円,remaining:3pcs
0,灼熱の大地,046/049,120 円,remaining:5pcs
0,フェアリーガーデン,047/049,50 円,remaining:×
0,ストロングエネルギー,048/049,180 円,remaining:5pcs
0,ダブル無色エネルギー,049/049,120 円,remaining:3pcs
