,card_name,card_num,price,status
0,ザマゼンタV,073/060,"1,480 円",remaining:7pcs
0,クイックボール,074/060,"7,980 円",remaining:1pcs
0,メタルソーサー,075/060,980 円,remaining:×
0,モルペコVMAX,069/060,"1,280 円",remaining:1pcs
0,カビゴンVMAX,070/060,"2,480 円",remaining:×
0,エール団のしたっぱ,071/060,780 円,remaining:8pcs
0,マリィ,072/060,"12,800 円",remaining:3pcs
0,コータスV,061/060,680 円,remaining:◯
0,モルペコV,062/060,780 円,remaining:×
0,イエッサンV,063/060,680 円,remaining:◯
0,ヤミラミV,064/060,680 円,remaining:5pcs
0,ザマゼンタV,065/060,680 円,remaining:8pcs
0,カビゴンV,066/060,"1,280 円",remaining:×
0,エール団のしたっぱ,067/060,980 円,remaining:◯
0,マリィ,068/060,"108,000 円",remaining:×
0,モルペコVMAX,020/060,320 円,remaining:◯
0,カビゴンVMAX,046/060,680 円,remaining:×
0,コータスV,006/060,120 円,remaining:◯
0,モルペコV,019/060,120 円,remaining:◯
0,イエッサンV,025/060,120 円,remaining:◯
0,ヤミラミV,036/060,120 円,remaining:◯
0,ザマゼンタV,044/060,120 円,remaining:◯
0,カビゴンV,045/060,220 円,remaining:◯
0,エースバーン,009/060,80 円,remaining:◯
0,モスノウ,016/060,80 円,remaining:◯
0,ドサイドン,030/060,80 円,remaining:◯
0,ガラルタチフサグマ,035/060,80 円,remaining:◯
0,ダイオウドウ,043/060,80 円,remaining:◯
0,ヤレユータン,049/060,80 円,remaining:◯
0,マリィ,059/060,120 円,remaining:◯
0,イオルブ,003/060,50 円,remaining:◯
0,ラビフット,008/060,50 円,remaining:◯
0,カジリガメ,014/060,50 円,remaining:◯
0,ランターン,018/060,50 円,remaining:◯
0,ガラルギャロップ,022/060,50 円,remaining:◯
0,ムシャーナ,024/060,50 円,remaining:◯
0,サイドン,029/060,50 円,remaining:◯
0,サダイジャ,032/060,50 円,remaining:◯
0,ガラルマッスグマ,034/060,50 円,remaining:◯
0,ドラピオン,038/060,50 円,remaining:◯
0,ヨルノズク,048/060,50 円,remaining:◯
0,クイックボール,052/060,120 円,remaining:◯
0,ふしぎなアメ,053/060,80 円,remaining:◯
0,メタルソーサー,054/060,80 円,remaining:◯
0,オボンのみ,055/060,50 円,remaining:◯
0,げんきのハチマキ,056/060,180 円,remaining:◯
0,しあわせタマゴ,057/060,80 円,remaining:◯
0,エール団のしたっぱ,058/060,80 円,remaining:◯
0,オーロラエネルギー,060/060,80 円,remaining:◯
0,サッチムシ,001/060,30 円,remaining:◯
0,レドームシ,002/060,30 円,remaining:◯
0,ヒメンカ,004/060,80 円,remaining:◯
0,ワタシラガ,005/060,30 円,remaining:◯
0,ヒバニー,007/060,30 円,remaining:◯
0,トサキント,010/060,30 円,remaining:◯
0,アズマオウ,011/060,30 円,remaining:◯
0,ハリーセン,012/060,30 円,remaining:◯
0,カムカメ,013/060,30 円,remaining:◯
0,ユキハミ,015/060,50 円,remaining:◯
0,チョンチー,017/060,30 円,remaining:◯
0,ガラルポニータ,021/060,30 円,remaining:◯
0,ムンナ,023/060,30 円,remaining:◯
0,サワムラー,026/060,30 円,remaining:◯
0,エビワラー,027/060,30 円,remaining:◯
0,サイホーン,028/060,30 円,remaining:◯
0,スナヘビ,031/060,30 円,remaining:◯
0,ガラルジグザグマ,033/060,50 円,remaining:◯
0,スコルピ,037/060,30 円,remaining:◯
0,クチート,039/060,50 円,remaining:◯
0,コマタナ,040/060,50 円,remaining:◯
0,キリキザン,041/060,30 円,remaining:◯
0,ゾウドウ,042/060,30 円,remaining:◯
0,ホーホー,047/060,30 円,remaining:◯
0,ウールー,050/060,30 円,remaining:◯
0,バイウールー,051/060,30 円,remaining:◯
