,card_name,card_num,price,status
0,クレセリア,087/067,"1,480 円",remaining:×
0,フルフェイスガード,088/067,780 円,remaining:1pcs
0,結晶の洞窟,089/067,980 円,remaining:3pcs
0,基本鋼エネルギー,090/067,"3,980 円",remaining:2pcs
0,ルガルガンVMAX,080/067,780 円,remaining:×
0,ダストダスVMAX,081/067,780 円,remaining:4pcs
0,ジュラルドンVMAX,082/067,980 円,remaining:×
0,ジュラルドンVMAX,083/067,"19,800 円",remaining:×
0,キバナ,084/067,780 円,remaining:4pcs
0,スクールガール,085/067,"1,280 円",remaining:1pcs
0,モノマネむすめ,086/067,"1,480 円",remaining:2pcs
0,スイクンV,068/067,780 円,remaining:2pcs
0,ゴルーグV,069/067,680 円,remaining:2pcs
0,ゴルーグV,070/067,"1,780 円",remaining:×
0,ルガルガンV,071/067,680 円,remaining:2pcs
0,ダストダスV,072/067,680 円,remaining:5pcs
0,オンバーンV,073/067,680 円,remaining:3pcs
0,オンバーンV,074/067,"3,480 円",remaining:×
0,ジュラルドンV,075/067,680 円,remaining:1pcs
0,ジュラルドンV,076/067,"8,980 円",remaining:2pcs
0,キバナ,077/067,"1,480 円",remaining:3pcs
0,スクールガール,078/067,"2,480 円",remaining:2pcs
0,モノマネむすめ,079/067,"2,980 円",remaining:3pcs
0,ルガルガンVMAX,025/067,120 円,remaining:◯
0,ダストダスVMAX,031/067,80 円,remaining:◯
0,ジュラルドンVMAX,049/067,120 円,remaining:◯
0,スイクンV,001/067,120 円,remaining:◯
0,ゴルーグV,015/067,80 円,remaining:◯
0,ルガルガンV,024/067,120 円,remaining:◯
0,ダストダスV,030/067,80 円,remaining:◯
0,オンバーンV,046/067,80 円,remaining:◯
0,ジュラルドンV,048/067,80 円,remaining:◯
0,ルンパッパ,004/067,80 円,remaining:◯
0,ガラルフリーザー,012/067,80 円,remaining:◯
0,ガラルサンダー,019/067,80 円,remaining:◯
0,ガラルファイヤー,026/067,80 円,remaining:◯
0,ディアルガ,041/067,80 円,remaining:◯
0,サザンドラ,044/067,80 円,remaining:◯
0,キュレム,045/067,80 円,remaining:◯
0,ケッキング,052/067,80 円,remaining:◯
0,コオリッポ,009/067,50 円,remaining:◯
0,ソーナンス,013/067,50 円,remaining:◯
0,パンプジン,017/067,50 円,remaining:◯
0,ハリテヤマ,023/067,50 円,remaining:◯
0,アブソル,027/067,50 円,remaining:◯
0,ドクロッグ,029/067,50 円,remaining:◯
0,フォクスライ,033/067,50 円,remaining:◯
0,ガラルニャイキング,035/067,50 円,remaining:◯
0,ダイオウドウ,039/067,50 円,remaining:◯
0,チルタリス,040/067,50 円,remaining:◯
0,ジジーロン,047/067,50 円,remaining:◯
0,あなぬけのヒモ,056/067,120 円,remaining:◯
0,しんかのおこう,057/067,80 円,remaining:◯
0,すりかえカップ,058/067,50 円,remaining:◯
0,レスキューキャリー,059/067,80 円,remaining:◯
0,穴掘りグローブ,060/067,50 円,remaining:◯
0,いちげきの巻物 牙竜の巻,061/067,50 円,remaining:◯
0,フルフェイスガード,062/067,50 円,remaining:◯
0,キバナ,063/067,80 円,remaining:◯
0,結晶の洞窟,066/067,80 円,remaining:◯
0,ツインエネルギー,067/067,80 円,remaining:◯
0,ハスボー,002/067,30 円,remaining:◯
0,ハスブレロ,003/067,30 円,remaining:◯
0,ヒヤップ,005/067,30 円,remaining:◯
0,ヒヤッキー,006/067,30 円,remaining:◯
0,ウデッポウ,007/067,30 円,remaining:◯
0,ブロスター,008/067,30 円,remaining:◯
0,プリン,010/067,30 円,remaining:◯
0,プクリン,011/067,30 円,remaining:◯
0,シンボラー,014/067,30 円,remaining:◯
0,バケッチャ,016/067,30 円,remaining:◯
0,エビワラー,018/067,30 円,remaining:◯
0,グライガー,020/067,30 円,remaining:◯
0,グライオン,021/067,30 円,remaining:◯
0,マクノシタ,022/067,30 円,remaining:◯
0,グレッグル,028/067,30 円,remaining:◯
0,クスネ,032/067,30 円,remaining:◯
0,ガラルニャース,034/067,30 円,remaining:◯
0,エアームド,036/067,30 円,remaining:◯
0,クレッフィ,037/067,30 円,remaining:◯
0,ゾウドウ,038/067,30 円,remaining:◯
0,モノズ,042/067,30 円,remaining:◯
0,ジヘッド,043/067,30 円,remaining:◯
0,ナマケロ,050/067,30 円,remaining:◯
0,ヤルキモノ,051/067,30 円,remaining:◯
0,チルット,053/067,30 円,remaining:◯
0,ウールー,054/067,30 円,remaining:◯
0,バイウールー,055/067,30 円,remaining:◯
0,スクールガール,064/067,50 円,remaining:◯
0,モノマネむすめ,065/067,50 円,remaining:◯
