,card_name,card_num,price,status
0,シェイミEX,021/020,"9,980 円",remaining:×
0,レシラム,022/020,"24,800 円",remaining:×
0,エモンガ,023/020,"9,980 円",remaining:×
0,ミュウEX,024/020,"19,800 円",remaining:×
0,メロエッタEX,025/020,"5,980 円",remaining:×
0,メロエッタEX,011/020,980 円,remaining:×
0,ジャローダ(キラ),003/020,680 円,remaining:×
0,ガーディ(キラ),004/020,420 円,remaining:×
0,ポッチャマ(キラ),006/020,680 円,remaining:×
0,ピカチュウ(キラ),007/020,"6,980 円",remaining:×
0,サーナイト(キラ),010/020,780 円,remaining:×
0,マッギョ(キラ),012/020,420 円,remaining:×
0,チョロネコ(キラ),013/020,320 円,remaining:×
0,イーブイ(キラ),014/020,"1,980 円",remaining:×
0,チラチーノ(キラ),019/020,500 円,remaining:×
0,ツタージャ(キラ),001/020,420 円,remaining:×
0,ジャノビー(キラ),002/020,420 円,remaining:×
0,アチャモ(キラ),005/020,420 円,remaining:×
0,ラルトス(キラ),008/020,500 円,remaining:×
0,キルリア(キラ),009/020,500 円,remaining:×
0,ヒメグマ(キラ),015/020,320 円,remaining:×
0,リングマ(キラ),016/020,320 円,remaining:×
0,タブンネ(キラ),017/020,320 円,remaining:×
0,チラーミィ(キラ),018/020,320 円,remaining:×
0,カミツレ(キラ),020/020,"1,480 円",remaining:×
