,card_name,card_num,price,status
0,オーロンゲV,006/020,120 円,remaining:◯
0,オーロンゲVMAX,007/020,320 円,remaining:×
0,アブソル,001/020,50 円,remaining:×
0,モノズ,002/020,120 円,remaining:2pcs
0,ジヘッド,003/020,80 円,remaining:×
0,サザンドラ,004/020,80 円,remaining:◯
0,クスネ,005/020,30 円,remaining:×
0,ルギア,008/020,120 円,remaining:×
0,クイックボール,009/020,180 円,remaining:9pcs
0,しんかのおこう,010/020,80 円,remaining:6pcs
0,スマホロトム,011/020,120 円,remaining:◯
0,ふしぎなアメ,012/020,80 円,remaining:3pcs
0,ポケギア3.0,013/020,120 円,remaining:1pcs
0,ポケモンいれかえ,014/020,50 円,remaining:9pcs
0,ポケモンキャッチャー,015/020,30 円,remaining:◯
0,リセットスタンプ,016/020,120 円,remaining:4pcs
0,シロナ,017/020,80 円,remaining:×
0,ソニア,018/020,120 円,remaining:3pcs
0,博士の研究[マグノリア博士],019/020,80 円,remaining:2pcs
0,ホップ,020/020,30 円,remaining:×
