,card_name,card_num,price,status
0,フシギバナV,001/021,120 円,remaining:◯
0,フシギバナVMAX,002/021,420 円,remaining:2pcs
0,ヤンヤンマ,003/021,30 円,remaining:◯
0,メガヤンマ,004/021,30 円,remaining:◯
0,セレビィ,005/021,420 円,remaining:◯
0,サボネア,006/021,50 円,remaining:◯
0,トロピウス,007/021,50 円,remaining:9pcs
0,ヒメンカ,008/021,30 円,remaining:7pcs
0,ワタシラガ,009/021,50 円,remaining:2pcs
0,ザルード,010/021,30 円,remaining:◯
0,きずぐすり,011/021,30 円,remaining:◯
0,クイックボール,012/021,120 円,remaining:◯
0,しんかのおこう,013/021,80 円,remaining:◯
0,ポケギア3.0,014/021,120 円,remaining:5pcs
0,ポケモンいれかえ,015/021,50 円,remaining:◯
0,博士の研究[アララギ博士],016/021,80 円,remaining:×
0,ビート,017/021,50 円,remaining:◯
0,ボスの指令[フラダリ],018/021,180 円,remaining:×
0,ホップ,019/021,30 円,remaining:◯
0,マリィ,020/021,80 円,remaining:7pcs
0,ヤロー,021/021,50 円,remaining:◯
