,card_name,card_num,price,status
0,基本水エネルギー(キラ),-,50 円,remaining:◯
0,ラプラス(R仕様),001/022,80 円,remaining:×
0,テッポウオ(R仕様),002/022,80 円,remaining:◯
0,オクタン(R仕様),003/022,80 円,remaining:◯
0,バスラオ(R仕様),004/022,50 円,remaining:◯
0,インテレオンV(RR仕様),005/022,80 円,remaining:◯
0,インテレオンVMAX(RRR仕様),006/022,120 円,remaining:◯
0,クロバットV(RR仕様),007/022,120 円,remaining:◯
0,ミミロル(R仕様),008/022,50 円,remaining:◯
0,ミミロップ(R仕様),009/022,50 円,remaining:◯
0,ルチャブル(R仕様),010/022,50 円,remaining:◯
0,エネルギー回収(R仕様),011/022,420 円,remaining:×
0,クイックボール(R仕様),012/022,120 円,remaining:◯
0,しんかのおこう(R仕様),013/022,120 円,remaining:◯
0,ポケギア3.0(R仕様),014/022,180 円,remaining:1pcs
0,ポケモンいれかえ(R仕様),015/022,80 円,remaining:◯
0,コルニの気合い(R仕様),016/022,80 円,remaining:◯
0,博士の研究[アララギ博士](R仕様),017/022,80 円,remaining:◯
0,冒険家の発見(R仕様),018/022,80 円,remaining:◯
0,ボスの指令[フラダリ](R仕様),019/022,120 円,remaining:◯
0,マリィ(R仕様),020/022,120 円,remaining:◯
0,みずの塔(R仕様),021/022,80 円,remaining:◯
0,れんげきエネルギー(キラ),022/022,80 円,remaining:◯
0,インテレオンVMAX(SR仕様),023/022,"5,980 円",remaining:1pcs
