,card_name,card_num,price,status
0,基本草エネルギー(SM旧デザイン),-,50 円,remaining:◯
0,基本炎エネルギー(SM旧デザイン),-,50 円,remaining:◯
0,基本水エネルギー(SM旧デザイン),-,50 円,remaining:◯
0,基本雷エネルギー(SM旧デザイン),-,50 円,remaining:◯
0,基本超エネルギー(SM旧デザイン),-,50 円,remaining:◯
0,基本闘エネルギー(SM旧デザイン),-,50 円,remaining:◯
0,基本悪エネルギー(SM旧デザイン),-,50 円,remaining:◯
0,基本鋼エネルギー(SM旧デザイン),-,50 円,remaining:◯
0,基本フェアリーエネルギー(SM旧デザイン),-,50 円,remaining:◯
0,基本草エネルギー(SM新デザイン),-,50 円,remaining:◯
0,基本炎エネルギー(SM新デザイン),-,50 円,remaining:◯
0,基本水エネルギー(SM新デザイン),-,50 円,remaining:◯
0,基本雷エネルギー(SM新デザイン),-,50 円,remaining:◯
0,基本超エネルギー(SM新デザイン),-,50 円,remaining:◯
0,基本闘エネルギー(SM新デザイン),-,50 円,remaining:◯
0,基本悪エネルギー(SM新デザイン),-,50 円,remaining:◯
0,基本鋼エネルギー(SM新デザイン),-,50 円,remaining:◯
0,基本フェアリーエネルギー(SM新デザイン),-,50 円,remaining:◯
0,基本草エネルギー(エクストラレギュレーションBOX),-,80 円,remaining:7pcs
0,基本炎エネルギー(エクストラレギュレーションBOX),-,80 円,remaining:×
0,基本水エネルギー(エクストラレギュレーションBOX),-,80 円,remaining:1pcs
0,基本雷エネルギー(エクストラレギュレーションBOX),-,80 円,remaining:×
0,基本超エネルギー(エクストラレギュレーションBOX),-,80 円,remaining:×
0,基本闘エネルギー(エクストラレギュレーションBOX),-,80 円,remaining:×
0,基本悪エネルギー(エクストラレギュレーションBOX),-,80 円,remaining:×
0,基本鋼エネルギー(エクストラレギュレーションBOX),-,80 円,remaining:×
0,基本フェアリーエネルギー(エクストラレギュレーションBOX),-,80 円,remaining:◯
