,card_name,card_num,price,status
0,カウンターキャッチャー,060/050,"29,800 円",remaining:×
0,ワープエネルギー,061/050,"2,480 円",remaining:2pcs
0,基本鋼エネルギー,062/050,"7,980 円",remaining:1pcs
0,アローラゴローニャGX,056/050,"2,980 円",remaining:×
0,マッシブーンGX,057/050,"3,480 円",remaining:×
0,カミツルギGX,058/050,"2,980 円",remaining:2pcs
0,シルヴァディGX,059/050,"3,980 円",remaining:×
0,アローラゴローニャGX,051/050,980 円,remaining:×
0,マッシブーンGX,052/050,980 円,remaining:1pcs
0,カミツルギGX,053/050,980 円,remaining:2pcs
0,シルヴァディGX,054/050,980 円,remaining:1pcs
0,グラジオ,055/050,"49,800 円",remaining:2pcs
0,アローラゴローニャGX,018/050,220 円,remaining:2pcs
0,マッシブーンGX,030/050,180 円,remaining:9pcs
0,カミツルギGX,037/050,500 円,remaining:6pcs
0,シルヴァディGX,045/050,120 円,remaining:4pcs
0,ゴーゴート,005/050,80 円,remaining:4pcs
0,アローラガラガラ,006/050,80 円,remaining:×
0,ゲンガー,022/050,80 円,remaining:×
0,エンニュート,027/050,80 円,remaining:6pcs
0,ボスゴドラ,034/050,80 円,remaining:8pcs
0,レジギガス,041/050,80 円,remaining:5pcs
0,タイプ:ヌル,044/050,80 円,remaining:◯
0,ノクタス,002/050,50 円,remaining:◯
0,バクーダ,008/050,50 円,remaining:◯
0,スターミー,010/050,50 円,remaining:◯
0,オクタン,012/050,50 円,remaining:◯
0,シザリガー,014/050,50 円,remaining:◯
0,アローラゴローン,017/050,50 円,remaining:◯
0,パンプジン,025/050,50 円,remaining:4pcs
0,コドラ,033/050,50 円,remaining:◯
0,レジスチル,035/050,50 円,remaining:8pcs
0,シュバルゴ,036/050,50 円,remaining:◯
0,ムクホーク,040/050,50 円,remaining:◯
0,カウンターキャッチャー,046/050,500 円,remaining:×
0,のぞきみレッドカード,047/050,80 円,remaining:8pcs
0,サイキックメモリ,048/050,50 円,remaining:◯
0,ファイトメモリ,049/050,50 円,remaining:◯
0,グラジオ,050/050,80 円,remaining:×
0,サボネア,001/050,30 円,remaining:◯
0,カブルモ,003/050,30 円,remaining:◯
0,メェークル,004/050,30 円,remaining:◯
0,ドンメル,007/050,30 円,remaining:◯
0,ヒトデマン,009/050,30 円,remaining:◯
0,テッポウオ,011/050,30 円,remaining:◯
0,ヘイガニ,013/050,30 円,remaining:◯
0,カラクナシ,015/050,30 円,remaining:◯
0,アローライシツブテ,016/050,30 円,remaining:◯
0,エモンガ,019/050,30 円,remaining:◯
0,ゴース,020/050,30 円,remaining:4pcs
0,ゴースト,021/050,30 円,remaining:6pcs
0,チリーン,023/050,30 円,remaining:5pcs
0,バケッチャ,024/050,30 円,remaining:10pcs
0,ヤトウモリ,026/050,30 円,remaining:◯
0,カラカラ,028/050,30 円,remaining:◯
0,トリトドン,029/050,30 円,remaining:◯
0,クチート,031/050,30 円,remaining:10pcs
0,ココドラ,032/050,30 円,remaining:◯
0,ムックル,038/050,30 円,remaining:◯
0,ムクバード,039/050,30 円,remaining:◯
0,チラーミィ,042/050,30 円,remaining:1pcs
0,チラチーノ,043/050,30 円,remaining:2pcs
