,card_name,card_num,price,status
0,アクアパッチ,001/041,220 円,remaining:8pcs
0,ネストボール,002/041,220 円,remaining:1pcs
0,ハイパーボール,003/041,80 円,remaining:7pcs
0,フィールドブロアー,004/041,320 円,remaining:×
0,ふしぎなアメ,005/041,80 円,remaining:1pcs
0,レスキュータンカ,006/041,180 円,remaining:×
0,こだわりハチマキ,007/041,80 円,remaining:2pcs
0,アセロラ,008/041,180 円,remaining:×
0,グズマ,009/041,320 円,remaining:1pcs
0,シロナ,010/041,80 円,remaining:4pcs
0,リーリエ,011/041,120 円,remaining:8pcs
0,ダブル無色エネルギー,012/041,120 円,remaining:3pcs
0,活力剤,013/041,120 円,remaining:◯
0,すごいつりざお,014/041,680 円,remaining:×
0,スペシャルチャージ,015/041,"1,280 円",remaining:×
0,ダイブボール,016/041,320 円,remaining:3pcs
0,トレーナーズポスト,017/041,"1,480 円",remaining:1pcs
0,はかせのてがみ,018/041,220 円,remaining:×
0,バトルコンプレッサー(フレア団ギア),019/041,"1,980 円",remaining:×
0,バトルサーチャー,020/041,980 円,remaining:×
0,ピーピーマックス,021/041,420 円,remaining:×
0,かるいし,022/041,"1,280 円",remaining:1pcs
0,炸裂バルーン,023/041,80 円,remaining:10pcs
0,闘魂のまわし,024/041,180 円,remaining:◯
0,アズサ,025/041,220 円,remaining:10pcs
0,N,026/041,320 円,remaining:8pcs
0,オカルトマニア,027/041,120 円,remaining:×
0,クセロシキ,028/041,80 円,remaining:◯
0,コルニ,029/041,120 円,remaining:×
0,こわいおねえさん,030/041,80 円,remaining:×
0,センパイとコウハイ,031/041,420 円,remaining:×
0,ニンジャごっこ,032/041,120 円,remaining:2pcs
0,フウロ,033/041,120 円,remaining:2pcs
0,プラターヌ博士,034/041,80 円,remaining:9pcs
0,ポケモンレンジャー,035/041,680 円,remaining:×
0,ミツル,036/041,"1,980 円",remaining:×
0,うねりの大海,037/041,120 円,remaining:◯
0,巨大植物の森,038/041,80 円,remaining:×
0,次元の谷,039/041,500 円,remaining:◯
0,スカイフィールド,040/041,880 円,remaining:4pcs
0,ダブルドラゴンエネルギー,041/041,980 円,remaining:◯
