,card_name,card_num,price,status
0,カイロスGX(リザードン),005/051,180 円,remaining:×
0,リザードンGX(リザードン),009/051,"1,480 円",remaining:×
0,ギャラドスGX(ミュウツー),015/051,180 円,remaining:×
0,ライチュウGX(ライチュウ),019/051,180 円,remaining:×
0,ミュウツーGX(ミュウツー),025/051,500 円,remaining:×
0,プクリンGX(ライチュウ),032/051,220 円,remaining:×
0,基本フェアリーエネルギー(ライチュウ),-,30 円,remaining:×
0,基本超エネルギー(ミュウツー),-,80 円,remaining:×
0,基本雷エネルギー(ライチュウ),-,80 円,remaining:×
0,基本水エネルギー(ミュウツー),-,80 円,remaining:×
0,基本炎エネルギー(リザードン),-,80 円,remaining:×
0,基本草エネルギー(リザードン),-,50 円,remaining:×
0,キャタピー(リザードン),001/051,30 円,remaining:×
0,トランセル(リザードン),002/051,30 円,remaining:×
0,バタフリー(リザードン),003/051,30 円,remaining:×
0,ストライク(リザードン),004/051,80 円,remaining:1pcs
0,ダダリン(リザードン),006/051,30 円,remaining:×
0,ヒトカゲ(リザードン),007/051,120 円,remaining:×
0,リザード(リザードン),008/051,180 円,remaining:×
0,ブーバー(リザードン),010/051,30 円,remaining:×
0,ヤトウモリ(リザードン),011/051,30 円,remaining:◯
0,エンニュート(リザードン),012/051,30 円,remaining:×
0,コダック(ミュウツー),013/051,50 円,remaining:×
0,コイキング(ミュウツー),014/051,30 円,remaining:×
0,ラプラス(ミュウツー),016/051,30 円,remaining:×
0,ナマコブシ(ミュウツー),017/051,30 円,remaining:×
0,ピカチュウ(ライチュウ),018/051,500 円,remaining:×
0,ビリリダマ(ライチュウ),020/051,30 円,remaining:1pcs
0,マルマイン(ライチュウ),021/051,30 円,remaining:2pcs
0,トゲデマル(ライチュウ),022/051,30 円,remaining:×
0,アーボ(ミュウツー),023/051,50 円,remaining:×
0,ルージュラ(ミュウツー),024/051,30 円,remaining:×
0,ミュウ(ミュウツー),026/051,980 円,remaining:×
0,ヒドイデ(ミュウツー),027/051,50 円,remaining:×
0,ドヒドイデ(ミュウツー),028/051,30 円,remaining:×
0,ピッピ(ライチュウ),029/051,50 円,remaining:3pcs
0,ピクシー(ライチュウ),030/051,50 円,remaining:×
0,プリン(ライチュウ),031/051,50 円,remaining:×
0,バリヤード(ライチュウ),033/051,50 円,remaining:×
0,カモネギ(ミュウツー),034/051,50 円,remaining:×
0,ラッキー(ライチュウ),035/051,320 円,remaining:×
0,ガルーラ(リザードン),036/051,80 円,remaining:×
0,イーブイ(ライチュウ),037/051,320 円,remaining:×
0,カビゴン(ミュウツー),038/051,180 円,remaining:×
0,きずぐすり(ライチュウ),039/051,30 円,remaining:◯
0,クラッシュハンマー(ミュウツー),040/051,80 円,remaining:◯
0,スーパーボール(ライチュウ),041/051,80 円,remaining:◯
0,スーパーボール(ミュウツー),041/051,80 円,remaining:◯
0,スーパーボール(リザードン),041/051,80 円,remaining:1pcs
0,ふしぎなアメ(リザードン),042/051,80 円,remaining:×
0,ポケモンいれかえ(リザードン),043/051,50 円,remaining:2pcs
0,ポケモンいれかえ(ライチュウ),043/051,50 円,remaining:4pcs
0,ポケモンいれかえ(ミュウツー),043/051,50 円,remaining:3pcs
0,ポケモンキャッチャー(リザードン),044/051,30 円,remaining:◯
0,ポケモンキャッチャー(ライチュウ),044/051,30 円,remaining:◯
0,ポケモンキャッチャー(ミュウツー),044/051,30 円,remaining:◯
0,イリマ(リザードン),045/051,50 円,remaining:◯
0,イリマ(ライチュウ),045/051,50 円,remaining:◯
0,ククイ博士(ミュウツー),046/051,80 円,remaining:6pcs
0,ジャッジマン(ミュウツー),047/051,80 円,remaining:◯
0,シロナ(リザードン),048/051,80 円,remaining:4pcs
0,シロナ(ライチュウ),048/051,80 円,remaining:5pcs
0,シロナ(ミュウツー),048/051,80 円,remaining:2pcs
0,ハウ(リザードン),049/051,30 円,remaining:◯
0,ハウ(ライチュウ),049/051,30 円,remaining:◯
0,ハウ(ミュウツー),049/051,30 円,remaining:◯
0,ポケモンセンターのお姉さん(ライチュウ),050/051,180 円,remaining:6pcs
0,むしとりしょうねん(リザードン),051/051,50 円,remaining:7pcs
0,むしとりしょうねん(ライチュウ),051/051,50 円,remaining:×
