,card_name,card_num,price,status
0,基本雷エネルギー(キラ),-,80 円,remaining:◯
0,ネオラントV(キラ),001/020,120 円,remaining:1pcs
0,メリープ(キラ),002/020,80 円,remaining:8pcs
0,モココ(キラ),003/020,80 円,remaining:9pcs
0,ボルトロス(キラ),004/020,80 円,remaining:◯
0,ゼラオラV(RR仕様),005/020,120 円,remaining:◯
0,ゼラオラVMAX(RRR仕様),006/020,180 円,remaining:2pcs
0,ゼラオラVSTAR(RRR仕様),007/020,220 円,remaining:◯
0,バチンウニ(キラ),008/020,220 円,remaining:◯
0,ハイパーボール(キラ),009/020,120 円,remaining:◯
0,ポケモンいれかえ(キラ),010/020,80 円,remaining:◯
0,レベルボール(キラ),011/020,120 円,remaining:◯
0,こだわりベルト(キラ),012/020,120 円,remaining:◯
0,葉隠れポンチョ(キラ),013/020,120 円,remaining:◯
0,クララ(キラ),014/020,120 円,remaining:◯
0,サナ(キラ),015/020,80 円,remaining:×
0,ジュン(キラ),016/020,80 円,remaining:◯
0,シロナの覇気(キラ),017/020,120 円,remaining:◯
0,博士の研究[ナナカマド博士](キラ),018/020,80 円,remaining:◯
0,冒険家の発見(キラ),019/020,80 円,remaining:5pcs
0,ボスの指令[アカギ](キラ),020/020,220 円,remaining:◯
