,card_name,card_num,price,status
0,ウガツホムラex,098/071,"1,280 円",remaining:◯
0,ウネルミナモex,099/071,"1,280 円",remaining:8pcs
0,タケルライコex,100/071,"1,480 円",remaining:4pcs
0,ウガツホムラex,093/071,"3,480 円",remaining:2pcs
0,ウネルミナモex,094/071,"3,980 円",remaining:×
0,タケルライコex,095/071,"4,980 円",remaining:5pcs
0,ビワ,096/071,"2,980 円",remaining:1pcs
0,マツバの確信,097/071,"4,980 円",remaining:9pcs
0,ドダイトスex,084/071,680 円,remaining:5pcs
0,ウガツホムラex,085/071,680 円,remaining:◯
0,ウネルミナモex,086/071,680 円,remaining:4pcs
0,ウミトリオex,087/071,680 円,remaining:◯
0,ゲンガーex,088/071,"1,980 円",remaining:1pcs
0,タケルライコex,089/071,780 円,remaining:◯
0,探検家の先導,090/071,"1,280 円",remaining:◯
0,ビワ,091/071,980 円,remaining:8pcs
0,マツバの確信,092/071,780 円,remaining:◯
0,ハヤシガメ,072/071,220 円,remaining:◯
0,ユキハミ,073/071,220 円,remaining:◯
0,ドーミラー,074/071,220 円,remaining:◯
0,ランクルス,075/071,220 円,remaining:◯
0,ハバタクカミ,076/071,420 円,remaining:◯
0,ジーランス,077/071,220 円,remaining:◯
0,バンバドロ,078/071,220 円,remaining:◯
0,アーボック,079/071,220 円,remaining:◯
0,ゴース,080/071,500 円,remaining:◯
0,ペラップ,081/071,220 円,remaining:◯
0,チラーミィ,082/071,320 円,remaining:◯
0,チラチーノ,083/071,420 円,remaining:◯
0,覚醒のドラム,062/071,180 円,remaining:◯
0,マキシマムベルト,066/071,"1,280 円",remaining:◯
0,ネオアッパーエネルギー,071/071,180 円,remaining:◯
0,ドダイトスex,005/071,80 円,remaining:◯
0,ウガツホムラex,012/071,80 円,remaining:◯
0,ウネルミナモex,024/071,80 円,remaining:◯
0,ウミトリオex,025/071,80 円,remaining:◯
0,ゲンガーex,047/071,180 円,remaining:◯
0,タケルライコex,053/071,220 円,remaining:◯
0,エルフーン,008/071,80 円,remaining:◯
0,オーダイル,015/071,80 円,remaining:◯
0,ハバタクカミ,033/071,180 円,remaining:◯
0,ジーランス,034/071,80 円,remaining:◯
0,トドロクツキ,051/071,500 円,remaining:◯
0,コライドン,052/071,220 円,remaining:◯
0,ノココッチ,057/071,120 円,remaining:◯
0,ロズレイド,002/071,50 円,remaining:◯
0,シェイミ,006/071,50 円,remaining:◯
0,マルヤクデ,011/071,50 円,remaining:◯
0,サメハダー,017/071,50 円,remaining:◯
0,ケルディオ,018/071,50 円,remaining:◯
0,イルカマン,023/071,50 円,remaining:◯
0,ドータクン,029/071,50 円,remaining:◯
0,ランクルス,032/071,50 円,remaining:◯
0,ゴルーグ,036/071,50 円,remaining:◯
0,バンバドロ,038/071,50 円,remaining:◯
0,セキタンザン,041/071,50 円,remaining:◯
0,イダイナキバ,042/071,80 円,remaining:◯
0,ヤミラミ,050/071,50 円,remaining:◯
0,チラチーノ,060/071,80 円,remaining:◯
0,おとりよせボックス,061/071,80 円,remaining:◯
0,なかよしポフィン,063/071,680 円,remaining:◯
0,緊急ボード,064/071,120 円,remaining:◯
0,ブーストエナジー 古代,065/071,80 円,remaining:◯
0,探検家の先導,067/071,120 円,remaining:◯
0,ビワ,068/071,50 円,remaining:◯
0,マツバの確信,069/071,80 円,remaining:◯
0,危険な密林,070/071,80 円,remaining:◯
0,ロゼリア,001/071,30 円,remaining:◯
0,ナエトル,003/071,50 円,remaining:◯
0,ハヤシガメ,004/071,30 円,remaining:◯
0,モンメン,007/071,30 円,remaining:◯
0,クイタラン,009/071,30 円,remaining:◯
0,ヤクデ,010/071,30 円,remaining:◯
0,ワニノコ,013/071,50 円,remaining:◯
0,アリゲイツ,014/071,50 円,remaining:◯
0,キバニア,016/071,30 円,remaining:◯
0,ユキハミ,019/071,30 円,remaining:◯
0,モスノウ,020/071,30 円,remaining:◯
0,ウミディグダ,021/071,30 円,remaining:◯
0,ナミイルカ,022/071,30 円,remaining:◯
0,マリル,026/071,30 円,remaining:◯
0,マリルリ,027/071,30 円,remaining:◯
0,ドーミラー,028/071,30 円,remaining:◯
0,ユニラン,030/071,30 円,remaining:◯
0,ダブラン,031/071,30 円,remaining:◯
0,ゴビット,035/071,30 円,remaining:◯
0,ドロバンコ,037/071,30 円,remaining:◯
0,タンドン,039/071,30 円,remaining:◯
0,トロッゴン,040/071,30 円,remaining:◯
0,アーボ,043/071,30 円,remaining:◯
0,アーボック,044/071,30 円,remaining:◯
0,ゴース,045/071,30 円,remaining:◯
0,ゴースト,046/071,30 円,remaining:◯
0,ポチエナ,048/071,30 円,remaining:◯
0,グラエナ,049/071,30 円,remaining:◯
0,ホーホー,054/071,30 円,remaining:◯
0,ヨルノズク,055/071,30 円,remaining:◯
0,ノコッチ,056/071,50 円,remaining:◯
0,ペラップ,058/071,30 円,remaining:◯
0,チラーミィ,059/071,30 円,remaining:◯
