,card_name,card_num,price,status
0,クワッス(R仕様),002/023,120 円,remaining:◯
0,ウェルカモ(R仕様),003/023,80 円,remaining:◯
0,ウェーニバル(R仕様),004/023,220 円,remaining:◯
0,ミミッキュex,006/023,780 円,remaining:◯
0,ママンボウ,001/023,30 円,remaining:◯
0,クワッス,002/023,50 円,remaining:◯
0,ウェルカモ,003/023,50 円,remaining:◯
0,ウェーニバル,004/023,220 円,remaining:◯
0,デデンネ,005/023,120 円,remaining:7pcs
0,ヒラヒナ,007/023,980 円,remaining:×
0,ザングース,008/023,30 円,remaining:◯
0,グルトン,009/023,30 円,remaining:◯
0,モトトカゲ,010/023,50 円,remaining:◯
0,エネルギー回収,011/023,500 円,remaining:1pcs
0,エネルギー転送,012/023,80 円,remaining:1pcs
0,クラッシュハンマー,013/023,80 円,remaining:×
0,ネストボール,014/023,220 円,remaining:◯
0,ハイパーボール,015/023,50 円,remaining:◯
0,ポケギア3.0,016/023,120 円,remaining:×
0,ポケモンいれかえ,017/023,30 円,remaining:◯
0,ポケモンキャッチャー,018/023,30 円,remaining:◯
0,げんきのハチマキ,019/023,220 円,remaining:◯
0,ジャッジマン,020/023,80 円,remaining:◯
0,たんぱんこぞう,021/023,30 円,remaining:◯
0,ネモ,022/023,30 円,remaining:◯
0,博士の研究[オーリム博士],023/023,50 円,remaining:◯
