,card_name,card_num,price,status
0,ネストボール,001/028,220 円,remaining:×
0,ハイパーボール,002/028,50 円,remaining:◯
0,ふしぎなアメ,003/028,80 円,remaining:◯
0,ポケギア3.0,004/028,120 円,remaining:×
0,ポケモンいれかえ,005/028,30 円,remaining:◯
0,こだわりベルト,006/028,120 円,remaining:◯
0,博士の研究[フトゥー博士],007/028,50 円,remaining:◯
0,ネオラントV,008/028,80 円,remaining:◯
0,メリープ,009/028,50 円,remaining:◯
0,モココ,010/028,80 円,remaining:◯
0,ミュウ,011/028,80 円,remaining:◯
0,ガッツのつるはし,012/028,80 円,remaining:◯
0,霧の水晶,013/028,80 円,remaining:◯
0,ヒスイのヘビーボール,014/028,80 円,remaining:2pcs
0,レベルボール,015/028,80 円,remaining:◯
0,ロストスイーパー,016/028,120 円,remaining:9pcs
0,カイ,017/028,180 円,remaining:5pcs
0,キバナ,018/028,80 円,remaining:◯
0,クララ,019/028,80 円,remaining:◯
0,セレナ,020/028,180 円,remaining:◯
0,ツツジ,021/028,80 円,remaining:◯
0,ナタネの活気,022/028,80 円,remaining:◯
0,ヒガナの決意,023/028,80 円,remaining:◯
0,ボスの指令[アカギ],024/028,180 円,remaining:◯
0,モミ,025/028,50 円,remaining:◯
0,頂への雪道,026/028,80 円,remaining:◯
0,マグマの滝壺,027/028,50 円,remaining:◯
0,ダブルターボエネルギー,028/028,80 円,remaining:◯
