,card_name,card_num,price,status
0,基本闘エネルギー,-,50 円,remaining:◯
0,基本雷エネルギー,-,50 円,remaining:◯
0,ピカチュウex,001/030,"19,800 円",remaining:×
0,コイル,002/030,80 円,remaining:5pcs
0,パモ,003/030,50 円,remaining:◯
0,パモット,004/030,50 円,remaining:◯
0,パーモット,005/030,50 円,remaining:9pcs
0,ズピカ,006/030,50 円,remaining:10pcs
0,カイデン,007/030,50 円,remaining:◯
0,タイカイデン,008/030,50 円,remaining:◯
0,ミライドン,009/030,50 円,remaining:◯
0,マンキー,010/030,50 円,remaining:◯
0,オコリザル,011/030,50 円,remaining:10pcs
0,コノヨザル,012/030,50 円,remaining:7pcs
0,コライドン,013/030,50 円,remaining:◯
0,イキリンコ,014/030,50 円,remaining:7pcs
0,モトトカゲ,015/030,50 円,remaining:8pcs
0,エネルギー回収,016/030,320 円,remaining:×
0,エネルギー転送,017/030,80 円,remaining:2pcs
0,スーパーボール,018/030,80 円,remaining:×
0,ハイパーボール,019/030,120 円,remaining:3pcs
0,ポケモンいれかえ,020/030,80 円,remaining:×
0,ポケモンキャッチャー,021/030,50 円,remaining:◯
0,学習装置,022/030,500 円,remaining:×
0,キハダ,023/030,80 円,remaining:7pcs
0,ジニア,024/030,320 円,remaining:6pcs
0,ジャッジマン,025/030,120 円,remaining:×
0,たんぱんこぞう,026/030,80 円,remaining:◯
0,ネモ,027/030,80 円,remaining:◯
0,ネモ,028/030,80 円,remaining:◯
0,博士の研究[オーリム博士],029/030,120 円,remaining:5pcs
0,博士の研究[フトゥー博士],030/030,80 円,remaining:4pcs
