,card_name,card_num,price,status
0,ピカチュウEX,008/027,"4,980 円",remaining:×
0,フーパEX,012/027,500 円,remaining:×
0,レシラム,002/027,"2,480 円",remaining:×
0,パルキア,005/027,"2,980 円",remaining:×
0,ゼクロム,009/027,"2,480 円",remaining:×
0,ディアルガ,017/027,"2,980 円",remaining:×
0,ラティアス,018/027,"4,980 円",remaining:×
0,ラティオス,019/027,"4,980 円",remaining:×
0,ブラックキュレム,020/027,"2,480 円",remaining:×
0,ホワイトキュレム,021/027,"2,480 円",remaining:×
0,レジギガス,023/027,"1,980 円",remaining:×
0,アルセウス,024/027,"6,980 円",remaining:×
0,テールナー,004/027,320 円,remaining:×
0,ゲコガシラ,007/027,120 円,remaining:×
0,ウォーグル,026/027,120 円,remaining:2pcs
0,ハリマロン,001/027,120 円,remaining:×
0,フォッコ,003/027,120 円,remaining:×
0,ケロマツ,006/027,120 円,remaining:×
0,デデンネ,010/027,500 円,remaining:×
0,ソーナンス,011/027,120 円,remaining:×
0,ヒポポタス,013/027,80 円,remaining:3pcs
0,ヤンチャム,014/027,120 円,remaining:1pcs
0,ルチャブル,015/027,80 円,remaining:4pcs
0,マーイーカ,016/027,80 円,remaining:3pcs
0,ニャース,022/027,220 円,remaining:×
0,ワシボン,025/027,80 円,remaining:×
0,オンバット,027/027,80 円,remaining:1pcs
