,card_name,card_num,price,status
0,サンダーEX,007/018,180 円,remaining:×
0,ブラックキュレムEX,008/018,180 円,remaining:×
0,基本水エネルギー,-,50 円,remaining:×
0,基本雷エネルギー,-,50 円,remaining:×
0,ゼニガメ,001/018,50 円,remaining:×
0,プルリル,002/018,30 円,remaining:×
0,ブルンゲル,003/018,50 円,remaining:×
0,コイル,004/018,30 円,remaining:×
0,レアコイル,005/018,50 円,remaining:×
0,ジバコイル,006/018,50 円,remaining:×
0,ワシボン,009/018,50 円,remaining:×
0,ハイパーボール,010/018,80 円,remaining:×
0,ふしぎなアメ,011/018,80 円,remaining:×
0,ポケモンいれかえ,012/018,50 円,remaining:×
0,ポケモンキャッチャー,013/018,30 円,remaining:×
0,ランダムレシーバー,014/018,320 円,remaining:×
0,アララギ博士,015/018,80 円,remaining:×
0,チェレン,016/018,30 円,remaining:×
0,フウロ,017/018,120 円,remaining:×
0,プラズマエネルギー,018/018,50 円,remaining:×
