,card_name,card_num,price,status
0,ジャローダ,054/050,"17,800 円",remaining:×
0,ワルビアル,055/050,"14,800 円",remaining:×
0,ホウオウEX,051/050,"17,800 円",remaining:×
0,レジスチルEX,052/050,"3,480 円",remaining:×
0,レックウザEX,053/050,"12,800 円",remaining:×
0,ホウオウEX,009/050,680 円,remaining:×
0,ミロカロス,011/050,320 円,remaining:×
0,ゴルーグ,023/050,220 円,remaining:10pcs
0,ギガイアス,029/050,220 円,remaining:◯
0,レジスチルEX,034/050,500 円,remaining:×
0,チルタリス,036/050,320 円,remaining:×
0,レックウザEX,037/050,680 円,remaining:×
0,ガブリアス,040/050,500 円,remaining:×
0,ケッキング,043/050,220 円,remaining:1pcs
0,バッフロン,045/050,220 円,remaining:◯
0,ワタッコ,003/050,120 円,remaining:◯
0,テッカニン,005/050,120 円,remaining:◯
0,ブーバーン,008/050,120 円,remaining:×
0,トドゼルガ,014/050,120 円,remaining:◯
0,ライボルト,016/050,120 円,remaining:◯
0,ヌケニン,018/050,120 円,remaining:4pcs
0,ゴチミル,020/050,120 円,remaining:◯
0,ゴチルゼル,021/050,120 円,remaining:◯
0,ガラガラ,025/050,120 円,remaining:◯
0,スカタンク,033/050,120 円,remaining:◯
0,ダイノーズ,035/050,120 円,remaining:◯
0,ガバイト,039/050,120 円,remaining:◯
0,ウォーグル,047/050,120 円,remaining:◯
0,ツールスクラッパー,048/050,50 円,remaining:6pcs
0,大きなマント,049/050,120 円,remaining:◯
0,ブレンドエネルギー 水雷闘鋼,050/050,420 円,remaining:◯
0,ハネッコ,001/050,80 円,remaining:◯
0,ポポッコ,002/050,80 円,remaining:◯
0,ツチニン,004/050,80 円,remaining:7pcs
0,マラカッチ,006/050,80 円,remaining:◯
0,ブーバー,007/050,80 円,remaining:◯
0,ヒンバス,010/050,80 円,remaining:6pcs
0,タマザラシ,012/050,80 円,remaining:1pcs
0,トドグラー,013/050,80 円,remaining:◯
0,ラクライ,015/050,80 円,remaining:◯
0,エモンガ,017/050,80 円,remaining:10pcs
0,ゴチム,019/050,80 円,remaining:◯
0,ゴビット,022/050,80 円,remaining:◯
0,カラカラ,024/050,80 円,remaining:×
0,ノズパス,026/050,80 円,remaining:◯
0,ダンゴロ,027/050,80 円,remaining:◯
0,ガントル,028/050,80 円,remaining:◯
0,ナゲキ,030/050,80 円,remaining:◯
0,ダゲキ,031/050,80 円,remaining:◯
0,スカンプー,032/050,80 円,remaining:9pcs
0,フカマル,038/050,80 円,remaining:1pcs
0,ナマケロ,041/050,80 円,remaining:◯
0,ヤルキモノ,042/050,80 円,remaining:◯
0,チルット,044/050,80 円,remaining:×
0,ワシボン,046/050,80 円,remaining:◯
