,card_name,card_num,price,status
0,タマタマ,001/048,680 円,remaining:10pcs
0,ホウオウEX,002/048,180 円,remaining:×
0,ボルケニオンEX,003/048,320 円,remaining:×
0,ヒトデマン,004/048,50 円,remaining:×
0,スターミー,005/048,50 円,remaining:◯
0,フリーザー,006/048,30 円,remaining:×
0,ヒンバス,007/048,30 円,remaining:×
0,ミロカロス,008/048,120 円,remaining:×
0,ミュウ,009/048,420 円,remaining:◯
0,フーパEX,010/048,120 円,remaining:4pcs
0,レジロックEX,011/048,80 円,remaining:×
0,ダークライEX,012/048,180 円,remaining:×
0,ゾロア,013/048,80 円,remaining:3pcs
0,ゾロアーク,014/048,80 円,remaining:2pcs
0,サーナイトEX,015/048,120 円,remaining:×
0,MサーナイトEX,016/048,220 円,remaining:×
0,シュシュプ,017/048,30 円,remaining:◯
0,フレフワン,018/048,80 円,remaining:◯
0,レックウザEX,019/048,80 円,remaining:×
0,MレックウザEX,020/048,220 円,remaining:×
0,シェイミEX,021/048,180 円,remaining:×
0,スペシャルチャージ,022/048,"1,280 円",remaining:×
0,ダークパッチ,023/048,220 円,remaining:◯
0,時のパズル,024/048,120 円,remaining:×
0,バトルコンプレッサー(フレア団ギア),025/048,"1,980 円",remaining:×
0,バトルサーチャー,026/048,980 円,remaining:×
0,ピーピーマックス,027/048,420 円,remaining:×
0,プラスパワー,028/048,50 円,remaining:×
0,レベルボール,029/048,220 円,remaining:1pcs
0,かるいし,030/048,"1,280 円",remaining:1pcs
0,ちからのハチマキ,031/048,320 円,remaining:×
0,闘魂のまわし,032/048,180 円,remaining:◯
0,サーナイトソウルリンク,033/048,80 円,remaining:6pcs
0,レックウザソウルリンク,034/048,50 円,remaining:×
0,アクロマ,035/048,220 円,remaining:×
0,N,036/048,320 円,remaining:4pcs
0,鍛冶屋,037/048,120 円,remaining:◯
0,コルニ,038/048,120 円,remaining:×
0,ナギ,039/048,50 円,remaining:×
0,ニンジャごっこ,040/048,120 円,remaining:◯
0,次元の谷,041/048,500 円,remaining:◯
0,スカイフィールド,042/048,880 円,remaining:5pcs
0,フェアリーガーデン,043/048,50 円,remaining:×
0,ストロングエネルギー,044/048,180 円,remaining:◯
0,ダブルドラゴンエネルギー,045/048,980 円,remaining:◯
0,パソコン通信,046/048,"1,480 円",remaining:×
0,ポケモン回収サイクロン,047/048,"3,480 円",remaining:×
0,いのちのしずく,048/048,180 円,remaining:×
