,card_name,card_num,price,status
0,基本超エネルギー,-,680 円,remaining:◯
0,基本水エネルギー,-,500 円,remaining:8pcs
0,ゼニガメ,001/032,780 円,remaining:×
0,カメール,002/032,580 円,remaining:×
0,カメックス,003/032,"3,480 円",remaining:×
0,ヒトデマン,004/032,180 円,remaining:4pcs
0,スターミー,005/032,180 円,remaining:5pcs
0,コイキング,006/032,980 円,remaining:4pcs
0,ギャラドス,007/032,"1,280 円",remaining:1pcs
0,ラプラス,008/032,500 円,remaining:×
0,フリーザー,009/032,980 円,remaining:2pcs
0,スイクンex,010/032,500 円,remaining:×
0,スリープ,011/032,320 円,remaining:5pcs
0,スリーパー,012/032,320 円,remaining:5pcs
0,バリヤード,013/032,420 円,remaining:×
0,ミュウツー,014/032,"2,980 円",remaining:4pcs
0,マチスのコラッタ,015/032,180 円,remaining:×
0,マチスのラッタ,016/032,180 円,remaining:×
0,ガルーラ,017/032,180 円,remaining:5pcs
0,すごいつりざお,018/032,180 円,remaining:1pcs
0,ハイパーボール,019/032,80 円,remaining:8pcs
0,パソコン通信,020/032,80 円,remaining:10pcs
0,バトルサーチャー,021/032,320 円,remaining:7pcs
0,ふしぎなアメ,022/032,220 円,remaining:4pcs
0,ポケモンいれかえ,023/032,80 円,remaining:◯
0,モンスターボール,024/032,80 円,remaining:◯
0,大海のしずく,025/032,80 円,remaining:4pcs
0,オーキド博士,026/032,80 円,remaining:◯
0,釣り人,027/032,80 円,remaining:5pcs
0,ポケモンだいすきクラブ,028/032,80 円,remaining:6pcs
0,ボスの指令[サカキ],029/032,80 円,remaining:×
0,マサキ,030/032,80 円,remaining:◯
0,ロケット団の幹部,031/032,80 円,remaining:◯
0,無色2個エネルギー,032/032,80 円,remaining:7pcs
