,card_name,card_num,price,status
0,ミニリュウ(R仕様),001/020,220 円,remaining:×
0,ミニリュウ(R仕様),002/020,220 円,remaining:×
0,ハクリュー(R仕様),003/020,220 円,remaining:×
0,ハクリュー(R仕様),004/020,220 円,remaining:1pcs
0,カイリュー(R仕様),005/020,500 円,remaining:×
0,タツベイ(R仕様),006/020,220 円,remaining:×
0,コモルー(R仕様),007/020,220 円,remaining:2pcs
0,ボーマンダ(R仕様),008/020,420 円,remaining:3pcs
0,ラティアス(R仕様),009/020,500 円,remaining:×
0,ラティオス(R仕様),010/020,500 円,remaining:×
0,レックウザ(R仕様),011/020,680 円,remaining:×
0,キバゴ(R仕様),012/020,220 円,remaining:1pcs
0,キバゴ(R仕様),013/020,220 円,remaining:×
0,オノンド(R仕様),014/020,220 円,remaining:3pcs
0,オノンド(R仕様),015/020,220 円,remaining:6pcs
0,オノノクス(R仕様),016/020,320 円,remaining:×
0,クリムガン(R仕様),017/020,220 円,remaining:×
0,すごいつりざお(R仕様),018/020,"2,980 円",remaining:×
0,ファーストチケット(R仕様)?,019/020,220 円,remaining:×
0,学習装置(R仕様),020/020,980 円,remaining:×
