,card_name,card_num,price,status
0,ジャローダ(ツタージャ),004/034,80 円,remaining:×
0,エンブオー(ポカブ),008/034,80 円,remaining:×
0,ダイケンキ(ミジュマル),011/034,80 円,remaining:×
0,基本闘エネルギー(ポカブ),-,50 円,remaining:×
0,基本超エネルギー(ツタージャ),-,50 円,remaining:×
0,基本雷エネルギー(ミジュマル),-,50 円,remaining:×
0,基本水エネルギー(ミジュマル),-,50 円,remaining:×
0,基本炎エネルギー(ポカブ),-,50 円,remaining:×
0,基本草エネルギー(ツタージャ),-,50 円,remaining:×
0,シェイミ(ツタージャ),001/034,30 円,remaining:×
0,ツタージャ(ツタージャ),002/034,30 円,remaining:×
0,ジャノビー(ツタージャ),003/034,30 円,remaining:×
0,ビクティニ(ポカブ),005/034,30 円,remaining:×
0,ポカブ(ポカブ),006/034,30 円,remaining:×
0,チャオブー(ポカブ),007/034,30 円,remaining:×
0,ミジュマル(ミジュマル),009/034,30 円,remaining:×
0,フタチマル(ミジュマル),010/034,30 円,remaining:×
0,ケルディオ(ミジュマル),012/034,30 円,remaining:×
0,ピカチュウ(ミジュマル),013/034,120 円,remaining:×
0,ビリリダマ(ミジュマル),014/034,30 円,remaining:×
0,マルマイン(ミジュマル),015/034,30 円,remaining:×
0,チョンチー(ミジュマル),016/034,30 円,remaining:×
0,ソーナンス(ツタージャ),017/034,30 円,remaining:×
0,グレッグル(ツタージャ),018/034,30 円,remaining:×
0,ゴチム(ツタージャ),019/034,30 円,remaining:×
0,ゴチミル(ツタージャ),020/034,30 円,remaining:×
0,マクノシタ(ポカブ),021/034,30 円,remaining:×
0,リオル(ポカブ),022/034,30 円,remaining:×
0,ルカリオ(ポカブ),023/034,30 円,remaining:×
0,コジョフー(ポカブ),024/034,30 円,remaining:×
0,ニャース(ポカブ),025/034,30 円,remaining:×
0,カモネギ(ツタージャ),026/034,30 円,remaining:×
0,カビゴン(ポカブ),027/034,30 円,remaining:×
0,トゲピー(ミジュマル),028/034,30 円,remaining:×
0,スバメ(ツタージャ),029/034,30 円,remaining:×
0,パッチール(ミジュマル),030/034,30 円,remaining:×
0,きずぐすり(ポカブ),031/034,30 円,remaining:×
0,きずぐすり(ミジュマル),031/034,30 円,remaining:×
0,きずぐすり(ツタージャ),031/034,30 円,remaining:×
0,ポケモンいれかえ(ツタージャ),032/034,50 円,remaining:×
0,ポケモンいれかえ(ポカブ),032/034,50 円,remaining:×
0,ポケモンいれかえ(ミジュマル),032/034,50 円,remaining:×
0,モンスターボール(ツタージャ),033/034,120 円,remaining:×
0,モンスターボール(ポカブ),033/034,120 円,remaining:×
0,モンスターボール(ミジュマル),033/034,120 円,remaining:2pcs
0,チェレン(ツタージャ),034/034,30 円,remaining:×
0,チェレン(ポカブ),034/034,30 円,remaining:×
0,チェレン(ミジュマル),034/034,30 円,remaining:×
