,card_name,card_num,price,status
0,ケルディオ,004/015,80 円,remaining:×
0,ゴツゴツメット,012/015,120 円,remaining:×
0,しんかのきせき,013/015,120 円,remaining:×
0,基本水エネルギー,-,50 円,remaining:×
0,基本悪エネルギー,-,50 円,remaining:×
0,基本鋼エネルギー,-,50 円,remaining:×
0,コダック,001/015,30 円,remaining:×
0,ゴルダック,002/015,50 円,remaining:×
0,フリージオ,003/015,50 円,remaining:×
0,バルチャイ,005/015,30 円,remaining:×
0,バルジーナ,006/015,50 円,remaining:×
0,エアームド,007/015,50 円,remaining:×
0,ギアル,008/015,50 円,remaining:×
0,エネルギー転送,009/015,80 円,remaining:×
0,スーパーボール,010/015,50 円,remaining:×
0,ポケモンいれかえ,011/015,50 円,remaining:×
0,チェレン,014/015,30 円,remaining:1pcs
0,ベル,015/015,30 円,remaining:×
