,card_name,card_num,price,status
0,ダストダス,004/017,220 円,remaining:×
0,ギギギアル,008/017,120 円,remaining:×
0,アクロマ,014/017,320 円,remaining:×
0,基本超エネルギー,-,50 円,remaining:×
0,基本鋼エネルギー,-,50 円,remaining:1pcs
0,ズバット,001/017,50 円,remaining:1pcs
0,ドガース,002/017,50 円,remaining:×
0,ヤブクロン,003/017,30 円,remaining:×
0,リグレー,005/017,50 円,remaining:1pcs
0,ギアル,006/017,30 円,remaining:×
0,ギギアル,007/017,30 円,remaining:×
0,アイアント,009/017,50 円,remaining:1pcs
0,ミネズミ,010/017,50 円,remaining:2pcs
0,ミルホッグ,011/017,50 円,remaining:×
0,アクロママシーン,012/017,180 円,remaining:×
0,どくさいみん光線,013/017,980 円,remaining:1pcs
0,プラズマ団のしたっぱ,015/017,80 円,remaining:×
0,プラズマフリゲート,016/017,50 円,remaining:×
0,プラズマエネルギー,017/017,50 円,remaining:2pcs
