,card_name,card_num,price,status
0,基本闘エネルギー(ミラー仕様),-,120 円,remaining:×
0,ディグダ(ミラー仕様),001/024,80 円,remaining:×
0,ダグトリオ(ミラー仕様),002/024,80 円,remaining:×
0,サイホーン(ミラー仕様),003/024,80 円,remaining:×
0,ヤジロン(ミラー仕様),004/024,80 円,remaining:×
0,レジロックV,005/024,180 円,remaining:◯
0,ドロバンコ(ミラー仕様),006/024,80 円,remaining:×
0,バンバドロ(ミラー仕様),007/024,80 円,remaining:×
0,スナヘビ(R仕様),008/024,80 円,remaining:×
0,スナヘビ(ミラー仕様),008/024,80 円,remaining:×
0,サダイジャ(R仕様),009/024,80 円,remaining:◯
0,サダイジャ(ミラー仕様),009/024,80 円,remaining:×
0,タタッコ(ミラー仕様),010/024,80 円,remaining:×
0,イシヘンジン(R仕様),011/024,80 円,remaining:×
0,エネルギー転送(ミラー仕様),012/024,120 円,remaining:×
0,クイックボール(ミラー仕様),013/024,"1,480 円",remaining:×
0,スーパーボール(ミラー仕様),014/024,80 円,remaining:1pcs
0,ともだちてちょう(ミラー仕様),015/024,"12,800 円",remaining:×
0,ポケギア3.0(ミラー仕様),016/024,500 円,remaining:×
0,ポケモンいれかえ(ミラー仕様),017/024,120 円,remaining:1pcs
0,ポケモンキャッチャー(ミラー仕様),018/024,120 円,remaining:2pcs
0,オボンのみ(ミラー仕様),019/024,120 円,remaining:×
0,博士の研究[マグノリア博士](ミラー仕様),020/024,120 円,remaining:×
0,ポケモンごっこ(ミラー仕様),021/024,80 円,remaining:×
0,ポケモンセンターのお姉さん(ミラー仕様),022/024,420 円,remaining:×
0,ホップ(ミラー仕様),023/024,80 円,remaining:×
0,マリィ(ミラー仕様),024/024,500 円,remaining:×
0,ディグダ,001/024,30 円,remaining:◯
0,ダグトリオ,002/024,30 円,remaining:◯
0,サイホーン,003/024,50 円,remaining:×
0,ヤジロン,004/024,30 円,remaining:×
0,ドロバンコ,006/024,30 円,remaining:◯
0,バンバドロ,007/024,50 円,remaining:4pcs
0,スナヘビ,008/024,50 円,remaining:◯
0,サダイジャ,009/024,30 円,remaining:◯
0,タタッコ,010/024,30 円,remaining:×
0,エネルギー転送,012/024,80 円,remaining:×
0,クイックボール,013/024,180 円,remaining:5pcs
0,スーパーボール,014/024,50 円,remaining:◯
0,ともだちてちょう,015/024,420 円,remaining:×
0,ポケギア3.0,016/024,120 円,remaining:10pcs
0,ポケモンいれかえ,017/024,50 円,remaining:◯
0,ポケモンキャッチャー,018/024,30 円,remaining:◯
0,オボンのみ,019/024,50 円,remaining:5pcs
0,博士の研究[マグノリア博士],020/024,80 円,remaining:◯
0,ポケモンごっこ,021/024,30 円,remaining:9pcs
0,ポケモンセンターのお姉さん,022/024,180 円,remaining:×
0,ホップ,023/024,30 円,remaining:◯
0,マリィ,024/024,80 円,remaining:8pcs
