,card_name,card_num,price,status
0,基本悪エネルギー(キラ),-,80 円,remaining:◯
0,ゲンガーV(RR仕様),001/019,220 円,remaining:◯
0,ゲンガーVMAX(RRR仕様),002/019,680 円,remaining:◯
0,クロバットV(RR仕様),003/019,120 円,remaining:◯
0,デルビル(R仕様),004/019,80 円,remaining:◯
0,ヘルガー(R仕様),005/019,80 円,remaining:◯
0,イベルタル(R仕様),006/019,80 円,remaining:◯
0,モルペコ(R仕様),007/019,80 円,remaining:◯
0,活力の壺(R仕様),008/019,80 円,remaining:◯
0,クイックボール(R仕様),009/019,220 円,remaining:◯
0,しんかのおこう(R仕様),010/019,80 円,remaining:◯
0,ポケギア3.0(R仕様),011/019,180 円,remaining:×
0,ポケモンいれかえ(R仕様),012/019,80 円,remaining:◯
0,シバ(R仕様),013/019,80 円,remaining:◯
0,博士の研究[アララギ博士](R仕様),014/019,80 円,remaining:◯
0,冒険家の発見(R仕様),015/019,80 円,remaining:◯
0,ボスの指令[フラダリ](R仕様),016/019,180 円,remaining:◯
0,マリィ(R仕様),017/019,120 円,remaining:◯
0,あくの塔(R仕様),018/019,80 円,remaining:◯
0,いちげきエネルギー(キラ),019/019,80 円,remaining:◯
0,ゲンガーVMAX(SR仕様),020/019,"49,800 円",remaining:×
