,card_name,card_num,price,status
0,ムゲンダイナV,010/028,120 円,remaining:×
0,ムゲンダイナVMAX,011/028,120 円,remaining:×
0,ザシアンV,016/028,120 円,remaining:2pcs
0,ザマゼンタV,017/028,120 円,remaining:2pcs
0,ザシアンV,029/028,"1,280 円",remaining:2pcs
0,ザマゼンタV,030/028,"1,280 円",remaining:1pcs
0,リオル,001/028,80 円,remaining:◯
0,イトマル,002/028,30 円,remaining:◯
0,アリアドス,003/028,30 円,remaining:×
0,アブソル,004/028,30 円,remaining:×
0,ダークライ,005/028,30 円,remaining:×
0,フーパ,006/028,80 円,remaining:×
0,クスネ,007/028,30 円,remaining:◯
0,フォクスライ,008/028,30 円,remaining:◯
0,モルペコ,009/028,30 円,remaining:×
0,ルカリオ,012/028,30 円,remaining:×
0,メルタン,013/028,30 円,remaining:◯
0,メルメタル,014/028,30 円,remaining:◯
0,ジュラルドン,015/028,30 円,remaining:◯
0,クイックボール,018/028,120 円,remaining:◯
0,しんかのおこう,019/028,80 円,remaining:4pcs
0,スーパーボール,020/028,50 円,remaining:◯
0,ポケギア3.0,021/028,120 円,remaining:×
0,ポケモンいれかえ,022/028,50 円,remaining:◯
0,メタルソーサー,023/028,80 円,remaining:7pcs
0,博士の研究[マグノリア博士],024/028,80 円,remaining:×
0,ビート,025/028,50 円,remaining:◯
0,ボスの指令[サカキ],026/028,220 円,remaining:◯
0,ホップ,027/028,30 円,remaining:◯
0,マリィ,028/028,80 円,remaining:3pcs
