,card_name,card_num,price,status
0,チェリンボ,001/030,30 円,remaining:×
0,チェリム,002/030,50 円,remaining:×
0,ユキワラシ,003/030,30 円,remaining:◯
0,ユキメノコ,004/030,50 円,remaining:◯
0,メリープ,005/030,50 円,remaining:◯
0,モココ,006/030,50 円,remaining:×
0,ミュウ,007/030,80 円,remaining:2pcs
0,クロバットV,008/030,120 円,remaining:◯
0,ドーミラー,009/030,30 円,remaining:◯
0,ドータクン,010/030,50 円,remaining:◯
0,霧の水晶,011/030,80 円,remaining:◯
0,クイックボール,012/030,120 円,remaining:◯
0,しんかのおこう,013/030,80 円,remaining:◯
0,ツールスクラッパー,014/030,50 円,remaining:◯
0,ハイパーボール,015/030,80 円,remaining:×
0,ふしぎなアメ,016/030,80 円,remaining:×
0,ふつうのつりざお,017/030,80 円,remaining:10pcs
0,ポケモンいれかえ,018/030,50 円,remaining:◯
0,レベルボール,019/030,80 円,remaining:×
0,大きなおまもり,020/030,120 円,remaining:◯
0,ふうせん,021/030,50 円,remaining:◯
0,キバナ,022/030,80 円,remaining:×
0,コルニの気合い,023/030,50 円,remaining:◯
0,博士の研究[ナナカマド博士],024/030,80 円,remaining:×
0,ボスの指令[アカギ],025/030,180 円,remaining:8pcs
0,マリィ,026/030,80 円,remaining:◯
0,頂への雪道,027/030,80 円,remaining:×
0,トレーニングコート,028/030,50 円,remaining:◯
0,パワフル無色エネルギー,029/030,80 円,remaining:◯
0,ヒート炎エネルギー,030/030,80 円,remaining:◯
