,card_name,card_num,price,status
0,ネストボール,071/060,"34,800 円",remaining:×
0,ポケモンいれかえ,072/060,"19,800 円",remaining:2pcs
0,基本超エネルギー,073/060,"17,800 円",remaining:×
0,ラランテスGX,067/060,"2,980 円",remaining:×
0,ルナアーラGX,068/060,"5,980 円",remaining:×
0,ブラッキーGX,069/060,"89,800 円",remaining:1pcs
0,ケンタロスGX,070/060,"1,980 円",remaining:3pcs
0,ラランテスGX,061/060,980 円,remaining:2pcs
0,ルナアーラGX,062/060,"2,980 円",remaining:3pcs
0,ブラッキーGX,063/060,"39,800 円",remaining:2pcs
0,ケンタロスGX,064/060,980 円,remaining:1pcs
0,スカル団のしたっぱ,065/060,"14,800 円",remaining:×
0,リーリエ,066/060,"498,000 円",remaining:×
0,ラランテスGX,006/060,180 円,remaining:◯
0,ルナアーラGX,028/060,320 円,remaining:6pcs
0,ブラッキーGX,037/060,"1,780 円",remaining:×
0,ケンタロスGX,047/060,220 円,remaining:◯
0,マシェード,008/060,80 円,remaining:×
0,ニョロボン,011/060,80 円,remaining:2pcs
0,クワガノン,020/060,80 円,remaining:×
0,アローラベトベトン,023/060,980 円,remaining:◯
0,ギガイアス,031/060,80 円,remaining:3pcs
0,サメハダー,039/060,80 円,remaining:×
0,カイリュー,044/060,80 円,remaining:2pcs
0,ヤレユータン,052/060,80 円,remaining:×
0,アメモース,003/060,50 円,remaining:◯
0,ニョロゾ,010/060,50 円,remaining:◯
0,ケケンカニ,015/060,50 円,remaining:◯
0,ランターン,018/060,50 円,remaining:◯
0,デンヂムシ,019/060,50 円,remaining:◯
0,コスモウム,027/060,50 円,remaining:◯
0,ガントル,030/060,50 円,remaining:◯
0,シロデスナ,034/060,50 円,remaining:◯
0,アローララッタ,036/060,50 円,remaining:2pcs
0,ハクリュー,043/060,80 円,remaining:×
0,ドデカバシ,051/060,50 円,remaining:◯
0,エネルギー回収,053/060,320 円,remaining:×
0,おおきいマラサダ,054/060,50 円,remaining:×
0,ネストボール,055/060,220 円,remaining:×
0,ポケモンいれかえ,056/060,50 円,remaining:◯
0,どくバリ,057/060,80 円,remaining:3pcs
0,スカル団のしたっぱ,058/060,220 円,remaining:◯
0,リーリエ,059/060,120 円,remaining:×
0,レインボーエネルギー,060/060,220 円,remaining:8pcs
0,カイロス,001/060,30 円,remaining:◯
0,アメタマ,002/060,30 円,remaining:◯
0,アゴジムシ,004/060,30 円,remaining:◯
0,カリキリ,005/060,30 円,remaining:×
0,ネマシュ,007/060,30 円,remaining:◯
0,ニョロモ,009/060,30 円,remaining:◯
0,サニーゴ,012/060,30 円,remaining:◯
0,キャモメ,013/060,30 円,remaining:◯
0,ペリッパー,014/060,30 円,remaining:◯
0,ハギギシリ,016/060,30 円,remaining:10pcs
0,チョンチー,017/060,30 円,remaining:◯
0,トゲデマル,021/060,30 円,remaining:3pcs
0,アローラベトベター,022/060,220 円,remaining:10pcs
0,スリープ,024/060,30 円,remaining:◯
0,スリーパー,025/060,30 円,remaining:◯
0,コスモッグ,026/060,30 円,remaining:4pcs
0,ダンゴロ,029/060,30 円,remaining:◯
0,マケンカニ,032/060,30 円,remaining:◯
0,スナバァ,033/060,30 円,remaining:◯
0,アローラコラッタ,035/060,30 円,remaining:2pcs
0,キバニア,038/060,30 円,remaining:7pcs
0,ブルー,040/060,30 円,remaining:8pcs
0,グランブル,041/060,30 円,remaining:◯
0,ミニリュウ,042/060,30 円,remaining:5pcs
0,オニスズメ,045/060,30 円,remaining:×
0,オニドリル,046/060,30 円,remaining:◯
0,イーブイ,048/060,80 円,remaining:1pcs
0,ツツケラ,049/060,30 円,remaining:◯
0,ケララッパ,050/060,30 円,remaining:◯
