,card_name,card_num,price,status
0,フィールドブロアー,060/050,"9,980 円",remaining:×
0,まんたんのくすり,061/050,"2,980 円",remaining:×
0,基本雷エネルギー,062/050,"14,800 円",remaining:3pcs
0,バクガメスGX,056/050,"1,780 円",remaining:1pcs
0,アローラキュウコンGX,057/050,"14,800 円",remaining:1pcs
0,カプ・コケコGX,058/050,"5,980 円",remaining:×
0,ジャラランガGX,059/050,"1,980 円",remaining:×
0,バクガメスGX,051/050,980 円,remaining:3pcs
0,アローラキュウコンGX,052/050,"6,980 円",remaining:1pcs
0,カプ・コケコGX,053/050,"1,480 円",remaining:×
0,ジャラランガGX,054/050,980 円,remaining:×
0,ハラ,055/050,"4,980 円",remaining:3pcs
0,バクガメスGX,009/050,220 円,remaining:◯
0,アローラキュウコンGX,013/050,500 円,remaining:3pcs
0,カプ・コケコGX,022/050,500 円,remaining:×
0,ジャラランガGX,041/050,320 円,remaining:1pcs
0,グソクムシャ,007/050,80 円,remaining:5pcs
0,ビクティニ,008/050,120 円,remaining:2pcs
0,カイリキー,030/050,80 円,remaining:10pcs
0,キュワワー,037/050,80 円,remaining:◯
0,ジジーロン,038/050,80 円,remaining:◯
0,ハピナス,043/050,80 円,remaining:5pcs
0,ウツボット,003/050,50 円,remaining:◯
0,アローラサンドパン,011/050,50 円,remaining:◯
0,オニゴーリ,016/050,50 円,remaining:◯
0,バイバニラ,019/050,50 円,remaining:◯
0,エレザード,021/050,50 円,remaining:◯
0,ヤドラン,024/050,50 円,remaining:2pcs
0,ゴチルゼル,027/050,50 円,remaining:◯
0,ゴーリキー,029/050,50 円,remaining:◯
0,ナマズン,033/050,50 円,remaining:◯
0,ダイノーズ,034/050,50 円,remaining:◯
0,オオスバメ,045/050,50 円,remaining:◯
0,ネッコアラ,046/050,50 円,remaining:◯
0,エネくじ,047/050,80 円,remaining:4pcs
0,フィールドブロアー,048/050,320 円,remaining:×
0,ハラ,049/050,50 円,remaining:◯
0,エーテルパラダイス保護区,050/050,50 円,remaining:2pcs
0,マダツボミ,001/050,30 円,remaining:◯
0,ウツドン,002/050,30 円,remaining:◯
0,チュリネ,004/050,30 円,remaining:◯
0,ドレディア,005/050,30 円,remaining:5pcs
0,コソクムシ,006/050,30 円,remaining:◯
0,アローラサンド,010/050,30 円,remaining:9pcs
0,アローラロコン,012/050,80 円,remaining:4pcs
0,デリバード,014/050,30 円,remaining:◯
0,ユキワラシ,015/050,30 円,remaining:◯
0,バニプッチ,017/050,30 円,remaining:◯
0,バニリッチ,018/050,30 円,remaining:◯
0,エリキテル,020/050,30 円,remaining:◯
0,ヤドン,023/050,30 円,remaining:4pcs
0,ゴチム,025/050,30 円,remaining:◯
0,ゴチミル,026/050,30 円,remaining:◯
0,ワンリキー,028/050,30 円,remaining:◯
0,ノズパス,031/050,30 円,remaining:◯
0,ドジョッチ,032/050,30 円,remaining:◯
0,ピッピ,035/050,30 円,remaining:◯
0,ピクシー,036/050,30 円,remaining:◯
0,ジャラコ,039/050,30 円,remaining:◯
0,ジャランゴ,040/050,30 円,remaining:◯
0,ラッキー,042/050,30 円,remaining:5pcs
0,スバメ,044/050,30 円,remaining:◯
