,card_name,card_num,price,status
0,ネストボール,001/018,220 円,remaining:×
0,ハイパーボール,002/018,80 円,remaining:1pcs
0,ふしぎなアメ,003/018,80 円,remaining:×
0,ククイ博士,004/018,80 円,remaining:×
0,リーリエ,005/018,120 円,remaining:3pcs
0,ダブル無色エネルギー,006/018,120 円,remaining:3pcs
0,はかせのてがみ,007/018,320 円,remaining:×
0,バトルサーチャー,008/018,980 円,remaining:×
0,ピーピーマックス,009/018,420 円,remaining:×
0,闘魂のまわし,010/018,180 円,remaining:6pcs
0,N,011/018,320 円,remaining:7pcs
0,フウロ,012/018,120 円,remaining:◯
0,プラターヌ博士,013/018,80 円,remaining:10pcs
0,フラダリ,014/018,120 円,remaining:◯
0,うねりの大海,015/018,120 円,remaining:10pcs
0,巨大植物の森,016/018,80 円,remaining:×
0,ストロングエネルギー,017/018,180 円,remaining:6pcs
0,ミステリーエネルギー,018/018,220 円,remaining:3pcs
