,card_name,card_num,price,status
0,カリキリ,001/035,30 円,remaining:◯
0,ラランテス,002/035,50 円,remaining:◯
0,ウパー,003/035,50 円,remaining:2pcs
0,ヌオー,004/035,80 円,remaining:×
0,コイル,005/035,50 円,remaining:◯
0,レアコイル,006/035,30 円,remaining:◯
0,ジバコイル,007/035,80 円,remaining:×
0,マーイーカ,008/035,50 円,remaining:1pcs
0,カラマネロ,009/035,80 円,remaining:×
0,カプ・テテフGX,010/035,500 円,remaining:7pcs
0,チルタリス,011/035,50 円,remaining:◯
0,チルット,012/035,30 円,remaining:◯
0,アクアパッチ,013/035,180 円,remaining:◯
0,エネルギー循環装置,014/035,120 円,remaining:◯
0,エネルギーつけかえ,015/035,120 円,remaining:◯
0,エレキパワー,016/035,120 円,remaining:◯
0,ネストボール,017/035,220 円,remaining:2pcs
0,ハイパーボール,018/035,80 円,remaining:◯
0,ビーストリング,019/035,80 円,remaining:◯
0,フィールドブロアー,020/035,320 円,remaining:×
0,ふしぎなアメ,021/035,80 円,remaining:7pcs
0,ポケモンいれかえ,022/035,50 円,remaining:◯
0,まんたんのくすり,023/035,80 円,remaining:×
0,ミステリートレジャー,024/035,220 円,remaining:◯
0,レスキュータンカ,025/035,180 円,remaining:×
0,こだわりハチマキ,026/035,80 円,remaining:◯
0,グズマ,027/035,320 円,remaining:◯
0,シロナ,028/035,80 円,remaining:◯
0,デンジ,029/035,50 円,remaining:×
0,フウとラン,030/035,120 円,remaining:9pcs
0,マーマネ,031/035,50 円,remaining:◯
0,リーリエ,032/035,120 円,remaining:◯
0,エーテルパラダイス保護区,033/035,50 円,remaining:◯
0,せせらぎの丘,034/035,80 円,remaining:×
0,ダブル無色エネルギー,035/035,120 円,remaining:◯
