,card_name,card_num,price,status
0,エーフィ＆デオキシスGX,001/031,180 円,remaining:×
0,ジラーチGX,002/031,180 円,remaining:×
0,ブラッキー＆ダークライGX,010/031,320 円,remaining:×
0,マニューラGX,015/031,120 円,remaining:1pcs
0,クレセリア,003/031,30 円,remaining:◯
0,マーイーカ,004/031,50 円,remaining:×
0,カラマネロ,005/031,80 円,remaining:×
0,ヤトウモリ,006/031,30 円,remaining:◯
0,エンニュート,007/031,30 円,remaining:◯
0,カプ・テテフGX,008/031,320 円,remaining:◯
0,コスモッグ,009/031,50 円,remaining:×
0,アローラベトベター,011/031,320 円,remaining:×
0,ヤミカラス,012/031,30 円,remaining:◯
0,ドンカラス,013/031,30 円,remaining:◯
0,ニューラ,014/031,80 円,remaining:×
0,フーパ,016/031,80 円,remaining:4pcs
0,ハイパーボール,017/031,80 円,remaining:◯
0,プレシャスボール,018/031,80 円,remaining:×
0,ポケギア3.0,019/031,120 円,remaining:×
0,ポケモンいれかえ,020/031,50 円,remaining:◯
0,まんたんのくすり,021/031,80 円,remaining:×
0,ミステリートレジャー,022/031,220 円,remaining:◯
0,こだわりハチマキ,023/031,80 円,remaining:◯
0,グズマ,024/031,220 円,remaining:◯
0,シロナ,025/031,80 円,remaining:◯
0,ハウ,026/031,30 円,remaining:◯
0,ハプウ,027/031,120 円,remaining:◯
0,リーリエ,028/031,120 円,remaining:◯
0,レッドの挑戦,029/031,50 円,remaining:◯
0,ナイトシティ,030/031,220 円,remaining:◯
0,ダブル無色エネルギー,031/031,120 円,remaining:3pcs
