,card_name,card_num,price,status
0,ピッピ,301/SM-P,120 円,remaining:×
0,ハクリュー,302/SM-P,180 円,remaining:×
0,ガルーラGX,303/SM-P,180 円,remaining:×
0,みみなりベル,304/SM-P,180 円,remaining:9pcs
0,サンダー,305/SM-P,"1,480 円",remaining:×
0,イーブイ,306/SM-P,500 円,remaining:×
0,ピカチュウ,307/SM-P,"1,980 円",remaining:×
0,かんこうきゃく,308/SM-P,"1,780 円",remaining:×
0,クワガノン,309/SM-P,180 円,remaining:×
0,イーブイ,310/SM-P,220 円,remaining:×
0,ツンデツンデ,311/SM-P,120 円,remaining:◯
0,ヒトモシ,312/SM-P,120 円,remaining:×
0,ニャヒート,313/SM-P,120 円,remaining:2pcs
0,ムウマージ,314/SM-P,120 円,remaining:1pcs
0,リオル,315/SM-P,120 円,remaining:×
0,ヤミカラス,316/SM-P,120 円,remaining:9pcs
0,ポリゴンZGX,317/SM-P,180 円,remaining:×
0,カツラのクイズショー,318/SM-P,180 円,remaining:2pcs
0,ウソッキー,319/SM-P,420 円,remaining:×
0,あばれる君,320/SM-P,"17,800 円",remaining:×
0,メルタン,321/SM-P,220 円,remaining:2pcs
0,ジラーチ,322/SM-P,"1,780 円",remaining:×
0,ニンフィアGX,323/SM-P,"22,800 円",remaining:×
0,エリカのおもてなし,324/SM-P,"4,980 円",remaining:×
0,お茶会ごっこピカチュウ,325/SM-P,"6,980 円",remaining:×
0,イーブイ,326/SM-P,680 円,remaining:×
0,シャンデラ,327/SM-P,180 円,remaining:×
0,おとりよせパッド,328/SM-P,500 円,remaining:×
0,ともだちてちょう,329/SM-P,"1,280 円",remaining:×
0,ポケモン通信,330/SM-P,500 円,remaining:×
0,モーモーミルク,331/SM-P,120 円,remaining:×
0,こだわりメット,332/SM-P,120 円,remaining:×
0,カヒリ,333/SM-P,680 円,remaining:×
0,ジャッジマン,334/SM-P,220 円,remaining:×
0,シロナ,335/SM-P,"1,280 円",remaining:×
0,ポケモンだいすきクラブ,336/SM-P,680 円,remaining:×
0,名探偵ピカチュウ,337/SM-P,"3,980 円",remaining:×
0,名探偵ピカチュウ,338/SM-P,"9,980 円",remaining:×
0,名探偵ピカチュウ,339/SM-P,980 円,remaining:×
0,ビクティニ,340/SM-P,180 円,remaining:×
0,アンズ,341/SM-P,180 円,remaining:×
0,ミュウ,342/SM-P,980 円,remaining:×
0,イベルタル,343/SM-P,220 円,remaining:×
0,基本草エネルギー,344/SM-P,320 円,remaining:×
0,基本炎エネルギー,345/SM-P,420 円,remaining:×
0,基本水エネルギー,346/SM-P,420 円,remaining:×
0,基本雷エネルギー,347/SM-P,420 円,remaining:×
0,基本超エネルギー,348/SM-P,420 円,remaining:×
0,基本闘エネルギー,349/SM-P,320 円,remaining:×
0,基本悪エネルギー,350/SM-P,420 円,remaining:×
0,基本鋼エネルギー,351/SM-P,420 円,remaining:×
0,基本フェアリーエネルギー,352/SM-P,220 円,remaining:×
0,クルマユ,353/SM-P,120 円,remaining:1pcs
0,バスラオ,354/SM-P,120 円,remaining:◯
0,タマタマ,355/SM-P,120 円,remaining:9pcs
0,アバゴーラGX,356/SM-P,180 円,remaining:3pcs
0,マケンカニ,357/SM-P,120 円,remaining:◯
0,ププリン,358/SM-P,120 円,remaining:×
0,ドラゴンZドラゴンクロー,359/SM-P,120 円,remaining:◯
0,テラキオン,360/SM-P,120 円,remaining:3pcs
0,セレビィ,361/SM-P,"1,780 円",remaining:×
0,エリカ,362/SM-P,980 円,remaining:×
0,ミュウツーGX,363/SM-P,"178,000 円",remaining:×
0,アーマードミュウツー,365/SM-P,"1,480 円",remaining:×
0,リザードン,366/SM-P,"4,980 円",remaining:×
0,ピカチュウ,367/SM-P,500 円,remaining:×
0,ガルーラ,368/SM-P,180 円,remaining:×
0,ピカチュウ,369/SM-P,"6,980 円",remaining:×
0,レッドの挑戦,370/SM-P,980 円,remaining:×
0,イーブイ,371/SM-P,980 円,remaining:×
0,ヨノワール,372/SM-P,180 円,remaining:×
0,チコリータ,373/SM-P,"1,980 円",remaining:×
0,ニャビー,374/SM-P,"1,280 円",remaining:×
0,ニャース,375/SM-P,"1,480 円",remaining:×
0,ピカチュウ,376/SM-P,"2,980 円",remaining:◯
0,ピカチュウ,377/SM-P,"1,480 円",remaining:◯
0,イーブイ,378/SM-P,780 円,remaining:×
0,アローラロコン,379/SM-P,320 円,remaining:◯
0,基本水エネルギー,380/SM-P,220 円,remaining:×
0,ピッピ,381/SM-P,"59,800 円",remaining:5pcs
0,リーフィア,382/SM-P,320 円,remaining:×
0,メラルバ,383/SM-P,120 円,remaining:6pcs
0,アローラサンドパンGX,384/SM-P,180 円,remaining:×
0,グレイシア,385/SM-P,320 円,remaining:×
0,ゴビット,386/SM-P,80 円,remaining:◯
0,エイパム,387/SM-P,80 円,remaining:◯
0,にじいろのはな,388/SM-P,120 円,remaining:1pcs
0,アローラキュウコン,389/SM-P,180 円,remaining:×
0,ハプウ,390/SM-P,320 円,remaining:×
0,海で遊ぶピカチュウ,392/SM-P,"2,480 円",remaining:×
0,ピカチュウGX,393/SM-P,"9,980 円",remaining:×
0,ハウ,394/SM-P,420 円,remaining:×
0,グズマ,396/SM-P,"298,000 円",remaining:×
0,リーリエ,397/SM-P,"998,000 円",remaining:×
0,プレイヤーズセレモニー(2019),398/SM-P,"69,800 円",remaining:×
0,イーブイ,399/SM-P,980 円,remaining:×
0,ピカチュウ,400/SM-P,"79,800 円",remaining:×
