,card_name,card_num,price,status
0,基本雷エネルギー(キラ),-,80 円,remaining:×
0,ピカチュウV(キラ),001/024,"3,480 円",remaining:1pcs
0,エモンガ(キラ),002/024,180 円,remaining:5pcs
0,ゼラオラ(キラ),003/024,180 円,remaining:◯
0,ワンパチ(キラ),004/024,120 円,remaining:◯
0,パルスワン(キラ),005/024,120 円,remaining:◯
0,ガルーラ(キラ),006/024,180 円,remaining:◯
0,イーブイV(キラ),007/024,"2,980 円",remaining:1pcs
0,カビゴン(キラ),008/024,220 円,remaining:5pcs
0,トリミアン(キラ),009/024,180 円,remaining:◯
0,ルチャブル(キラ),010/024,180 円,remaining:◯
0,ウールー(キラ),011/024,180 円,remaining:◯
0,バイウールー(キラ),012/024,120 円,remaining:◯
0,エネルギー転送(キラ),013/024,120 円,remaining:1pcs
0,きずぐすり(キラ),014/024,50 円,remaining:◯
0,スーパーボール(キラ),015/024,80 円,remaining:10pcs
0,ハイパーボール(キラ),016/024,120 円,remaining:5pcs
0,ポケモンいれかえ(キラ),017/024,80 円,remaining:◯
0,ポケモンキャッチャー(キラ),018/024,80 円,remaining:◯
0,モンスターボール(キラ),019/024,80 円,remaining:10pcs
0,サナ(キラ),020/024,80 円,remaining:×
0,ジャッジマン(キラ),021/024,120 円,remaining:10pcs
0,ジュン(キラ),022/024,80 円,remaining:◯
0,博士の研究[ナナカマド博士](キラ),023/024,120 円,remaining:◯
0,ボスの指令[アカギ](キラ),024/024,220 円,remaining:7pcs
