,card_name,card_num,price,status
0,シマボシ,301/S-P,320 円,remaining:×
0,アブソル,302/S-P,"1,280 円",remaining:×
0,ジュン,303/S-P,320 円,remaining:1pcs
0,ルカリオV,304/S-P,"49,800 円",remaining:×
0,ルカリオVSTAR,305/S-P,"198,000 円",remaining:×
0,おいわいファンファーレ(2022),306/S-P,"12,800 円",remaining:×
0,ヒスイビリリダマ,307/S-P,420 円,remaining:×
0,ヒスイバクフーンV,308/S-P,"4,980 円",remaining:1pcs
0,エネくじ,309/S-P,"2,480 円",remaining:×
0,ポニータ,310/S-P,120 円,remaining:9pcs
0,ヌオーV,311/S-P,320 円,remaining:◯
0,ダブラン,312/S-P,120 円,remaining:◯
0,ヤンチャム,313/S-P,120 円,remaining:8pcs
0,ガラルニャース,314/S-P,80 円,remaining:◯
0,プテラ,315/S-P,80 円,remaining:◯
0,やすらぎの公園,316/S-P,80 円,remaining:◯
0,ネジキ,317/S-P,220 円,remaining:◯
0,ヒスイウォーグル,318/S-P,780 円,remaining:×
0,レジエレキV,319/S-P,680 円,remaining:1pcs
0,アンノーンV,320/S-P,500 円,remaining:×
0,レジドラゴV,321/S-P,780 円,remaining:1pcs
0,ルギアV,322/S-P,"6,980 円",remaining:1pcs
0,ピカチュウ,323/S-P,"34,800 円",remaining:1pcs
0,ルギアV,324/S-P,880 円,remaining:◯
0,ルギアVSTAR,325/S-P,"1,280 円",remaining:×
0,シェイミ,326/S-P,120 円,remaining:◯
0,アーケオス,327/S-P,500 円,remaining:2pcs
0,ダブルターボエネルギー,328/S-P,220 円,remaining:9pcs
0,基本草エネルギー,329/S-P,780 円,remaining:×
0,基本炎エネルギー,330/S-P,780 円,remaining:×
0,基本水エネルギー,331/S-P,780 円,remaining:×
0,基本雷エネルギー,332/S-P,780 円,remaining:×
0,基本超エネルギー,333/S-P,780 円,remaining:×
0,基本闘エネルギー,334/S-P,780 円,remaining:×
0,基本悪エネルギー,335/S-P,780 円,remaining:×
0,基本鋼エネルギー,336/S-P,780 円,remaining:×
0,フシギダネ,337/S-P,420 円,remaining:1pcs
0,ウインディ,338/S-P,320 円,remaining:1pcs
0,ゲッコウガ,339/S-P,680 円,remaining:4pcs
0,マリィ,340/S-P,780 円,remaining:◯
0,タマタマ,341/S-P,500 円,remaining:◯
0,デデンネGX,342/S-P,680 円,remaining:◯
0,ミュウ,343/S-P,780 円,remaining:×
0,トレーナーズポスト,344/S-P,"1,480 円",remaining:◯
0,バトルコンプレッサー（フレア団ギア）,345/S-P,"1,980 円",remaining:×
0,バトルサーチャー,346/S-P,980 円,remaining:◯
0,かるいし,347/S-P,"1,280 円",remaining:10pcs
0,サイレントラボ,348/S-P,"1,280 円",remaining:◯
0,ダウジングマシン,349/S-P,580 円,remaining:◯
0,パソコン通信,350/S-P,"1,280 円",remaining:◯
