,card_name,card_num,price,status
0,ディンルーex,097/071,780 円,remaining:10pcs
0,スーパーエネルギー回収,098/071,"3,480 円",remaining:×
0,基本草エネルギー,099/071,"1,280 円",remaining:2pcs
0,イーユイex,092/071,"1,480 円",remaining:7pcs
0,デカヌチャンex,093/071,"2,480 円",remaining:×
0,ディンルーex,094/071,980 円,remaining:×
0,サワロ,095/071,980 円,remaining:1pcs
0,ナンジャモ,096/071,"89,800 円",remaining:6pcs
0,フォレトスex,084/071,680 円,remaining:8pcs
0,イーユイex,085/071,680 円,remaining:◯
0,ハラバリーex,086/071,680 円,remaining:◯
0,デカヌチャンex,087/071,680 円,remaining:3pcs
0,ディンルーex,088/071,680 円,remaining:◯
0,オンバーンex,089/071,680 円,remaining:◯
0,サワロ,090/071,680 円,remaining:10pcs
0,ナンジャモ,091/071,"17,800 円",remaining:6pcs
0,ヘラクロス,072/071,180 円,remaining:9pcs
0,ヒノヤコマ,073/071,180 円,remaining:6pcs
0,ライチュウ,074/071,420 円,remaining:◯
0,スナバァ,075/071,180 円,remaining:◯
0,カヌチャン,076/071,180 円,remaining:◯
0,ナカヌチャン,077/071,180 円,remaining:×
0,コジオ,078/071,180 円,remaining:◯
0,バンギラス,079/071,420 円,remaining:4pcs
0,タギングル,080/071,180 円,remaining:◯
0,イッカネズミ,081/071,220 円,remaining:6pcs
0,カラミンゴ,082/071,180 円,remaining:◯
0,リキキリン,083/071,180 円,remaining:◯
0,フォレトスex,005/071,120 円,remaining:◯
0,イーユイex,016/071,120 円,remaining:◯
0,ハラバリーex,025/071,120 円,remaining:◯
0,デカヌチャンex,035/071,180 円,remaining:4pcs
0,ディンルーex,049/071,80 円,remaining:◯
0,オンバーンex,058/071,120 円,remaining:◯
0,ワタッコ,003/071,80 円,remaining:◯
0,レントラー,021/071,120 円,remaining:◯
0,プクリン,027/071,80 円,remaining:◯
0,ミカルゲ,028/071,80 円,remaining:◯
0,ソウブレイズ,031/071,80 円,remaining:◯
0,キョジオーン,048/071,80 円,remaining:◯
0,マニューラ,051/071,80 円,remaining:◯
0,バンギラス,052/071,80 円,remaining:◯
0,ヘラクロス,006/071,50 円,remaining:◯
0,ワナイダー,009/071,50 円,remaining:◯
0,バクーダ,011/071,50 円,remaining:◯
0,ファイアロー,013/071,50 円,remaining:◯
0,ライチュウ,018/071,50 円,remaining:◯
0,バチンウニ,022/071,50 円,remaining:◯
0,シロデスナ,030/071,50 円,remaining:◯
0,ナマズン,039/071,50 円,remaining:◯
0,ドクロッグ,041/071,50 円,remaining:◯
0,ケケンカニ,043/071,50 円,remaining:◯
0,ナゲツケサル,044/071,50 円,remaining:◯
0,タギングル,055/071,50 円,remaining:◯
0,オトシドリ,056/071,50 円,remaining:◯
0,リキキリン,060/071,50 円,remaining:◯
0,イッカネズミ,064/071,50 円,remaining:◯
0,カラミンゴ,065/071,50 円,remaining:◯
0,おとどけドローン,066/071,50 円,remaining:◯
0,勇気のおまもり,067/071,80 円,remaining:◯
0,サワロ,068/071,50 円,remaining:◯
0,ナンジャモ,069/071,120 円,remaining:5pcs
0,災いの荒野,070/071,80 円,remaining:◯
0,セラピーエネルギー,071/071,80 円,remaining:◯
0,ハネッコ,001/071,30 円,remaining:◯
0,ポポッコ,002/071,30 円,remaining:◯
0,クヌギダマ,004/071,50 円,remaining:◯
0,タマンチュラ,007/071,30 円,remaining:◯
0,タマンチュラ,008/071,30 円,remaining:◯
0,ドンメル,010/071,30 円,remaining:◯
0,ヒノヤコマ,012/071,30 円,remaining:◯
0,カルボウ,014/071,30 円,remaining:◯
0,カルボウ,015/071,30 円,remaining:◯
0,ピカチュウ,017/071,50 円,remaining:◯
0,コリンク,019/071,30 円,remaining:◯
0,ルクシオ,020/071,30 円,remaining:◯
0,ズピカ,023/071,30 円,remaining:◯
0,ズピカ,024/071,30 円,remaining:◯
0,プリン,026/071,30 円,remaining:◯
0,スナバァ,029/071,30 円,remaining:◯
0,カヌチャン,032/071,30 円,remaining:◯
0,カヌチャン,033/071,30 円,remaining:◯
0,ナカヌチャン,034/071,30 円,remaining:◯
0,ヨーギラス,036/071,30 円,remaining:◯
0,サナギラス,037/071,30 円,remaining:◯
0,ドジョッチ,038/071,30 円,remaining:◯
0,グレッグル,040/071,30 円,remaining:◯
0,マケンカニ,042/071,30 円,remaining:◯
0,コジオ,045/071,30 円,remaining:◯
0,コジオ,046/071,30 円,remaining:◯
0,ジオヅム,047/071,30 円,remaining:◯
0,ニューラ,050/071,30 円,remaining:◯
0,シルシュルー,053/071,30 円,remaining:◯
0,シルシュルー,054/071,30 円,remaining:◯
0,オンバット,057/071,30 円,remaining:◯
0,キリンリキ,059/071,30 円,remaining:◯
0,ヤヤコマ,061/071,30 円,remaining:◯
0,ワッカネズミ,062/071,30 円,remaining:◯
0,ワッカネズミ,063/071,30 円,remaining:◯
