,card_name,card_num,price,status
0,ミュウツーex,001/020,320 円,remaining:◯
0,ネイティ(R仕様),004/020,120 円,remaining:◯
0,ネイティオ(R仕様),005/020,320 円,remaining:◯
0,タマタマ,002/020,30 円,remaining:◯
0,ナッシー,003/020,30 円,remaining:◯
0,ネイティ,004/020,80 円,remaining:4pcs
0,ネイティオ,005/020,220 円,remaining:◯
0,デオキシス,006/020,50 円,remaining:◯
0,モンメン,007/020,30 円,remaining:◯
0,エルフーン,008/020,50 円,remaining:◯
0,デデンネ,009/020,180 円,remaining:×
0,霧の水晶,010/020,80 円,remaining:◯
0,すごいつりざお,011/020,120 円,remaining:×
0,ネストボール,012/020,220 円,remaining:◯
0,ハイパーボール,013/020,50 円,remaining:◯
0,ポケギア3.0,014/020,120 円,remaining:×
0,ポケモンいれかえ,015/020,30 円,remaining:◯
0,勇気のおまもり,016/020,80 円,remaining:◯
0,ナンジャモ,017/020,120 円,remaining:1pcs
0,ネモ,018/020,30 円,remaining:◯
0,博士の研究[フトゥー博士],019/020,50 円,remaining:◯
0,ボスの指令[ゲーチス],020/020,80 円,remaining:◯
