,card_name,card_num,price,status
0,フシギバナex,003/049,120 円,remaining:◯
0,リザードンex,009/049,320 円,remaining:◯
0,カメックスex,016/049,180 円,remaining:◯
0,フシギダネ,050/049,"1,980 円",remaining:◯
0,ヒトカゲ,051/049,"3,980 円",remaining:9pcs
0,ゼニガメ,052/049,"1,780 円",remaining:◯
0,フシギダネ,001/049,30 円,remaining:◯
0,フシギソウ,002/049,30 円,remaining:◯
0,ストライク,004/049,180 円,remaining:◯
0,トロピウス,005/049,30 円,remaining:◯
0,マスキッパ,006/049,30 円,remaining:◯
0,ヒトカゲ,007/049,120 円,remaining:5pcs
0,リザード,008/049,120 円,remaining:◯
0,ファイヤー,010/049,50 円,remaining:◯
0,ボルケニオン,011/049,50 円,remaining:◯
0,カルボウ,012/049,30 円,remaining:◯
0,グレンアルマ,013/049,80 円,remaining:◯
0,ゼニガメ,014/049,30 円,remaining:◯
0,カメール,015/049,30 円,remaining:◯
0,ママンボウ,017/049,30 円,remaining:◯
0,ケルディオ,018/049,50 円,remaining:◯
0,ヘイラッシャ,019/049,50 円,remaining:◯
0,ガルーラ,020/049,30 円,remaining:◯
0,カビゴン,021/049,120 円,remaining:◯
0,ジグザグマ,022/049,30 円,remaining:◯
0,マッスグマ,023/049,30 円,remaining:◯
0,ザングース,024/049,30 円,remaining:◯
0,チラーミィ,025/049,50 円,remaining:×
0,チラチーノ,026/049,30 円,remaining:◯
0,グルトン,027/049,30 円,remaining:◯
0,パフュートン,028/049,50 円,remaining:◯
0,カラミンゴ,029/049,30 円,remaining:◯
0,エネルギーシール,030/049,180 円,remaining:◯
0,スーパーエネルギー回収,031/049,120 円,remaining:2pcs
0,すごいつりざお,032/049,120 円,remaining:×
0,ネストボール,033/049,220 円,remaining:1pcs
0,ハイパーボール,034/049,50 円,remaining:◯
0,ふしぎなアメ,035/049,80 円,remaining:◯
0,ポケモンいれかえ,036/049,30 円,remaining:◯
0,カイ,037/049,120 円,remaining:×
0,サワロ,038/049,50 円,remaining:◯
0,シロナの覇気,039/049,80 円,remaining:◯
0,ナタネの活気,040/049,80 円,remaining:◯
0,ナンジャモ,041/049,120 円,remaining:4pcs
0,ネモ,042/049,30 円,remaining:◯
0,ネモ,043/049,30 円,remaining:◯
0,博士の研究[オーリム博士],044/049,50 円,remaining:◯
0,博士の研究[フトゥー博士],045/049,50 円,remaining:◯
0,ボスの指令[ゲーチス],046/049,80 円,remaining:◯
0,テーブルシティ,047/049,80 円,remaining:◯
0,ビーチコート,048/049,80 円,remaining:◯
0,マグマの滝壺,049/049,50 円,remaining:◯
