,card_name,card_num,price,status
0,基本炎エネルギー,101/SV-P,780 円,remaining:×
0,基本水エネルギー,102/SV-P,780 円,remaining:×
0,基本雷エネルギー,103/SV-P,780 円,remaining:×
0,基本超エネルギー,104/SV-P,780 円,remaining:×
0,基本闘エネルギー,105/SV-P,780 円,remaining:×
0,基本悪エネルギー,106/SV-P,780 円,remaining:×
0,基本鋼エネルギー,107/SV-P,780 円,remaining:×
0,サンダーex,108/SV-P,"12,800 円",remaining:×
0,まけんきハチマキ,109/SV-P,"14,800 円",remaining:×
0,おいわいファンファーレ,110/SV-P,"14,800 円",remaining:2pcs
0,バオップ,111/SV-P,120 円,remaining:10pcs
0,タッツー,112/SV-P,120 円,remaining:◯
0,デスマス,113/SV-P,120 円,remaining:8pcs
0,デカヌチャン,114/SV-P,120 円,remaining:×
0,キョジオーンex,115/SV-P,500 円,remaining:◯
0,ポリゴン2,116/SV-P,120 円,remaining:◯
0,レホール,117/SV-P,320 円,remaining:7pcs
0,ポピー,118/SV-P,320 円,remaining:3pcs
0,ラティアス,119/SV-P,"1,280 円",remaining:×
0,ピカチュウ,120/SV-P,120 円,remaining:×
0,ウパー,121/SV-P,120 円,remaining:×
0,ヌオー,122/SV-P,120 円,remaining:2pcs
0,クレッフィ,123/SV-P,180 円,remaining:4pcs
0,カラミンゴex,124/SV-P,220 円,remaining:4pcs
0,ネストボール,125/SV-P,320 円,remaining:×
0,ポケモンいれかえ,126/SV-P,120 円,remaining:6pcs
0,タイム,127/SV-P,320 円,remaining:◯
0,チリ,128/SV-P,680 円,remaining:×
0,キバナ,130/SV-P,420 円,remaining:◯
0,ソーナンス,131/SV-P,680 円,remaining:5pcs
0,ダストダス,132/SV-P,680 円,remaining:10pcs
0,カプ・テテフGX,133/SV-P,500 円,remaining:10pcs
0,カイリューEX,134/SV-P,"1,480 円",remaining:◯
0,トレーナーズポスト,135/SV-P,"1,480 円",remaining:◯
0,バトルコンプレッサー,136/SV-P,"1,980 円",remaining:◯
0,バトルサーチャー,137/SV-P,980 円,remaining:◯
0,かるいし,138/SV-P,"1,280 円",remaining:◯
0,ミツル,139/SV-P,"1,480 円",remaining:◯
0,サイレントラボ,140/SV-P,"1,480 円",remaining:◯
0,スカイフィールド,141/SV-P,880 円,remaining:◯
0,ダブルドラゴンエネルギー,142/SV-P,980 円,remaining:◯
0,なかよしポフィン,150/SV-P,780 円,remaining:◯
0,ミライドン,151/SV-P,320 円,remaining:◯
