,card_name,card_num,price,status
0,基本鋼エネルギー(コバルオン),-,50 円,remaining:×
0,基本悪エネルギー(ゾロアーク),-,50 円,remaining:×
0,基本闘エネルギー(テラキオン),-,50 円,remaining:×
0,基本超エネルギー(メロエッタ),-,50 円,remaining:×
0,基本雷エネルギー(ピカチュウ),-,50 円,remaining:×
0,基本水エネルギー(ケルディオ),-,50 円,remaining:×
0,基本炎エネルギー(ビクティニ),-,50 円,remaining:×
0,基本草エネルギー(ビリジオン),-,50 円,remaining:×
0,モンジャラ(ビリジオン),001/047,30 円,remaining:×
0,モジャンボ(ビリジオン),002/047,30 円,remaining:×
0,マラカッチ(ビリジオン),003/047,30 円,remaining:×
0,シキジカ(ビリジオン),004/047,30 円,remaining:×
0,ビリジオン(ビリジオン),005/047,120 円,remaining:×
0,ブーバー(ビクティニ),006/047,30 円,remaining:×
0,ブーバーン(ビクティニ),007/047,30 円,remaining:×
0,ビクティニ(ビクティニ),008/047,180 円,remaining:×
0,クイタラン(ビクティニ),009/047,30 円,remaining:×
0,メラルバ(ビクティニ),010/047,30 円,remaining:×
0,マリル(ケルディオ),011/047,30 円,remaining:×
0,マリルリ(ケルディオ),012/047,30 円,remaining:×
0,プルリル(ケルディオ),013/047,30 円,remaining:×
0,ママンボウ(ケルディオ),014/047,30 円,remaining:×
0,ケルディオ(ケルディオ),015/047,120 円,remaining:×
0,ピカチュウ(ピカチュウ),016/047,"9,980 円",remaining:×
0,エレブー(ピカチュウ),017/047,30 円,remaining:×
0,エレキブル(ピカチュウ),018/047,30 円,remaining:×
0,マッギョ(ピカチュウ),019/047,30 円,remaining:×
0,ボルトロス(ピカチュウ),020/047,30 円,remaining:×
0,シンボラー(メロエッタ),021/047,30 円,remaining:×
0,ゴチム(メロエッタ),022/047,30 円,remaining:×
0,ゴチミル(メロエッタ),023/047,30 円,remaining:×
0,ゴチルゼル(メロエッタ),024/047,30 円,remaining:×
0,メロエッタ(メロエッタ),025/047,120 円,remaining:×
0,リオル(テラキオン),026/047,80 円,remaining:×
0,ルカリオ(テラキオン),027/047,120 円,remaining:×
0,ナゲキ(テラキオン),028/047,30 円,remaining:×
0,ゴビット(テラキオン),029/047,30 円,remaining:×
0,テラキオン(テラキオン),030/047,120 円,remaining:×
0,メグロコ(ゾロアーク),031/047,30 円,remaining:×
0,ズルッグ(ゾロアーク),032/047,30 円,remaining:×
0,ズルズキン(ゾロアーク),033/037,30 円,remaining:×
0,ゾロア(ゾロアーク),034/047,80 円,remaining:×
0,ゾロアーク(ゾロアーク),035/047,180 円,remaining:×
0,ココドラ(コバルオン),036/047,30 円,remaining:×
0,コドラ(コバルオン),037/047,30 円,remaining:×
0,ボスゴドラ(コバルオン),038/047,30 円,remaining:×
0,アイアント(コバルオン),039/047,30 円,remaining:×
0,コバルオン(コバルオン),040/047,120 円,remaining:×
0,きずぐすり(ケルディオ),041/047,30 円,remaining:×
0,きずぐすり(ビリジオン),041/047,30 円,remaining:×
0,プラスパワー(ピカチュウ),042/047,80 円,remaining:×
0,プラスパワー(ビクティニ),042/047,80 円,remaining:×
0,ポケモンいれかえ(コバルオン),043/047,50 円,remaining:×
0,ポケモンいれかえ(テラキオン),043/047,50 円,remaining:×
0,ポケモンキャッチャー(メロエッタ),044/047,30 円,remaining:×
0,ポケモンキャッチャー(ゾロアーク),044/047,30 円,remaining:×
0,モンスターボール(ビリジオン),045/047,120 円,remaining:×
0,モンスターボール(ビクティニ),045/047,120 円,remaining:×
0,モンスターボール(ケルディオ),045/047,120 円,remaining:×
0,モンスターボール(ピカチュウ),045/047,120 円,remaining:×
0,モンスターボール(メロエッタ),045/047,120 円,remaining:×
0,モンスターボール(テラキオン),045/047,120 円,remaining:×
0,モンスターボール(ゾロアーク),045/047,120 円,remaining:×
0,モンスターボール(コバルオン),045/047,120 円,remaining:×
0,オーキド博士の出むかえ(ケルディオ),046/047,50 円,remaining:×
0,オーキド博士の出むかえ(ピカチュウ),046/047,50 円,remaining:×
0,オーキド博士の出むかえ(テラキオン),046/047,50 円,remaining:×
0,オーキド博士の出むかえ(ゾロアーク),046/047,50 円,remaining:×
0,マコモのお手伝い(ビリジオン),047/047,50 円,remaining:×
0,マコモのお手伝い(ビクティニ),047/047,50 円,remaining:×
0,マコモのお手伝い(メロエッタ),047/047,50 円,remaining:×
0,マコモのお手伝い(コバルオン),047/047,50 円,remaining:×
