,card_name,card_num,price,status
0,リザードンEX,001/021,500 円,remaining:×
0,MリザードンEX,002/021,"3,480 円",remaining:×
0,基本炎エネルギー,-,30 円,remaining:×
0,基本悪エネルギー,-,30 円,remaining:×
0,コータス,003/021,30 円,remaining:1pcs
0,ヒノヤコマ,004/021,30 円,remaining:×
0,シシコ,005/021,30 円,remaining:3pcs
0,スカンプー,006/021,30 円,remaining:×
0,ズルッグ,007/021,30 円,remaining:×
0,ズルズキン,008/021,30 円,remaining:×
0,ヤヤコマ,009/021,30 円,remaining:5pcs
0,トリミアン,010/021,30 円,remaining:×
0,ともだちてちょう,011/021,420 円,remaining:×
0,ハイパーボール,012/021,80 円,remaining:×
0,ポケモンいれかえ,013/021,50 円,remaining:×
0,レッドカード,014/021,50 円,remaining:×
0,ローラースケート,015/021,50 円,remaining:×
0,鍛冶屋,016/021,120 円,remaining:4pcs
0,サナ,017/021,30 円,remaining:×
0,ティエルノ,018/021,30 円,remaining:6pcs
0,プラターヌ博士,019/021,80 円,remaining:8pcs
0,フラダリ,020/021,120 円,remaining:8pcs
0,ダブル無色エネルギー,021/021,120 円,remaining:3pcs
