,card_name,card_num,price,status
0,ディアルガEX,004/018,80 円,remaining:×
0,ギルガルドEX,005/018,80 円,remaining:2pcs
0,基本鋼エネルギー,-,30 円,remaining:×
0,エアームド,001/018,30 円,remaining:×
0,ドーミラー,002/018,30 円,remaining:◯
0,ドータクン,003/018,220 円,remaining:◯
0,クレッフィ,006/018,30 円,remaining:◯
0,トリミアン,007/018,30 円,remaining:×
0,ハイパーボール,008/018,80 円,remaining:×
0,バトルサーチャー,009/018,980 円,remaining:×
0,ポケモンいれかえ,010/018,50 円,remaining:×
0,ポケモンキャッチャー,011/018,30 円,remaining:5pcs
0,レッドカード,012/018,50 円,remaining:×
0,ローラースケート,013/018,50 円,remaining:×
0,サナ,014/018,30 円,remaining:×
0,ティエルノ,015/018,30 円,remaining:7pcs
0,プラターヌ博士,016/018,80 円,remaining:3pcs
0,スチールシェルター,017/018,50 円,remaining:×
0,ダブル無色エネルギー,018/018,120 円,remaining:2pcs
