,card_name,card_num,price,status
0,イベルタルEX,005/023,220 円,remaining:×
0,イベルタルEX,006/023,420 円,remaining:×
0,ゼルネアスEX,011/023,220 円,remaining:×
0,ゼルネアスEX,012/023,"1,480 円",remaining:×
0,基本悪エネルギー,-,50 円,remaining:×
0,基本フェアリーエネルギー,-,50 円,remaining:×
0,ヤンチャム,001/023,30 円,remaining:×
0,ゴロンダ,002/023,30 円,remaining:×
0,マーイーカ,003/023,30 円,remaining:2pcs
0,カラマネロ,004/023,30 円,remaining:1pcs
0,シュシュプ,007/023,30 円,remaining:1pcs
0,フレフワン,008/023,80 円,remaining:7pcs
0,ペロッパフ,009/023,30 円,remaining:×
0,ペロリーム,010/023,30 円,remaining:×
0,ハイパーボール,013/023,80 円,remaining:×
0,ポケモンいれかえ,014/023,50 円,remaining:×
0,ポケモンキャッチャー,015/023,30 円,remaining:3pcs
0,レッドカード,016/023,50 円,remaining:×
0,ローラースケート,017/023,50 円,remaining:×
0,サナ,018/023,30 円,remaining:×
0,ティエルノ,019/023,30 円,remaining:8pcs
0,プラターヌ博士,020/023,80 円,remaining:2pcs
0,シャドーサークル,021/023,50 円,remaining:2pcs
0,フェアリーガーデン,022/023,50 円,remaining:1pcs
0,ダブル無色エネルギー,023/023,120 円,remaining:5pcs
