,card_name,card_num,price,status
0,エンブオーEX,003/022,180 円,remaining:×
0,トゲキッスEX,010/022,180 円,remaining:×
0,基本フェアリーエネルギー,-,50 円,remaining:×
0,基本雷エネルギー,-,50 円,remaining:×
0,基本超エネルギー,-,50 円,remaining:×
0,基本炎エネルギー,-,50 円,remaining:×
0,ガーディ,001/022,30 円,remaining:×
0,ウインディ,002/022,30 円,remaining:×
0,サニーゴ,004/022,50 円,remaining:×
0,エレブー,005/022,30 円,remaining:×
0,エレキブル,006/022,30 円,remaining:×
0,ニャスパー,007/022,30 円,remaining:×
0,ニャオニクス,008/022,50 円,remaining:×
0,クチート,009/022,80 円,remaining:×
0,シュシュプ,011/022,30 円,remaining:×
0,フレフワン,012/022,30 円,remaining:×
0,ノコッチ,013/022,30 円,remaining:×
0,トリミアン,014/022,30 円,remaining:×
0,エネルギー回収,015/022,320 円,remaining:×
0,きずぐすり,016/022,30 円,remaining:×
0,スーパーボール(トゲキッス),017/022,50 円,remaining:×
0,スーパーボール(エンブオー),017/022,50 円,remaining:×
0,ポケモンいれかえ(エンブオー),018/022,50 円,remaining:×
0,ポケモンいれかえ(トゲキッス),018/022,50 円,remaining:×
0,ポケモンキャッチャー(エンブオー),019/022,30 円,remaining:×
0,ポケモンキャッチャー(トゲキッス),019/022,30 円,remaining:×
0,サナ(エンブオー),020/022,30 円,remaining:×
0,サナ(トゲキッス),020/022,30 円,remaining:×
0,ティエルノ(エンブオー),021/022,30 円,remaining:3pcs
0,ティエルノ(トゲキッス),021/022,30 円,remaining:2pcs
0,ダブル無色エネルギー(エンブオー),022/022,120 円,remaining:2pcs
0,ダブル無色エネルギー(トゲキッス),022/022,120 円,remaining:×
