,card_name,card_num,price,status
0,レジロックEX,003/019,120 円,remaining:×
0,メレシーBREAK,008/019,180 円,remaining:×
0,ジガルデEX,009/019,120 円,remaining:×
0,基本闘エネルギー,-,50 円,remaining:×
0,ディグダ,001/019,30 円,remaining:×
0,ヨーギラス,002/019,30 円,remaining:×
0,リオル,004/019,30 円,remaining:×
0,ルカリオ,005/019,30 円,remaining:×
0,ルチャブル,006/019,30 円,remaining:7pcs
0,メレシー,007/019,30 円,remaining:×
0,ハイパーボール,010/019,80 円,remaining:×
0,ポケモンいれかえ,011/019,50 円,remaining:×
0,ポケモンキャッチャー,012/019,30 円,remaining:6pcs
0,パワーメモリ,013/019,30 円,remaining:2pcs
0,N,014/019,320 円,remaining:×
0,サナ,015/019,30 円,remaining:×
0,ティエルノ,016/019,30 円,remaining:3pcs
0,プラターヌ博士,017/019,80 円,remaining:1pcs
0,灼熱の大地,018/019,180 円,remaining:3pcs
0,ストロングエネルギー,019/019,180 円,remaining:◯
